Word,Count,Percentage of total,Cumulative percentage of total
μέγας,1294,4.36,4.36
πρότερος,633,2.14,6.5
ἀγαθός,580,1.96,8.46
καλός,554,1.87,10.32
πλείων,484,1.63,11.96
δίκαιος,466,1.57,13.53
ἴδιος,460,1.55,15.08
πλεῖστος,372,1.25,16.33
λοιπός,357,1.2,17.54
κοινός,348,1.17,18.71
κακός,340,1.15,19.86
ἀληθής,338,1.14,21.0
δεινός,277,0.93,21.93
ὕστερος,264,0.89,22.82
ἄξιος,264,0.89,23.71
ἐναντίος,250,0.84,24.56
οἰκεῖος,242,0.82,25.37
μικρός,237,0.8,26.17
νέος,215,0.73,26.9
πεζός,211,0.71,27.61
ταχύς,211,0.71,28.32
δῆλος,197,0.66,28.99
δυνατός,193,0.65,29.64
ἱκανός,192,0.65,30.29
αἴτιος,187,0.63,30.92
ἴσος,185,0.62,31.54
ἄριστος,168,0.57,32.11
φανερός,168,0.57,32.67
ἥσσων,156,0.53,33.2
ἐπιτήδειος,151,0.51,33.71
πολέμιος,151,0.51,34.22
ἀναγκαῖος,151,0.51,34.73
ἐλάσσων,149,0.5,35.23
ἐλεύθερος,144,0.49,35.72
μέσος,143,0.48,36.2
βελτίων,141,0.48,36.67
βραχύς,138,0.47,37.14
ἡδύς,133,0.45,37.59
πρέσβυς,129,0.44,38.02
χαλεπός,127,0.43,38.45
αἰσχρός,125,0.42,38.87
παλαιός,117,0.39,39.27
ἰσχυρός,115,0.39,39.66
ναυτικός,115,0.39,40.04
ἀρχαῖος,115,0.39,40.43
κύριος,114,0.38,40.82
φίλος,111,0.37,41.19
τελευταῖος,110,0.37,41.56
μυρίος,108,0.36,41.93
μακρός,107,0.36,42.29
πλούσιος,106,0.36,42.64
ὅμοιος,106,0.36,43.0
ἑτοῖμος,106,0.36,43.36
χρύσεος,105,0.35,43.71
παραπλήσιος,105,0.35,44.07
ἔνιοι,104,0.35,44.42
ὅσιος,104,0.35,44.77
πονηρός,102,0.34,45.11
χρήσιμος,98,0.33,45.44
σοφός,98,0.33,45.77
αἰχμάλωτος,95,0.32,46.09
ὑπεναντίος,94,0.32,46.41
πλέος,93,0.31,46.72
δημόσιος,93,0.31,47.04
πολιτικός,93,0.31,47.35
ἀδύνατος,92,0.31,47.66
ῥᾴδιος,91,0.31,47.97
χρηστός,88,0.3,48.27
ἄδικος,85,0.29,48.55
ἐπιφανής,84,0.28,48.84
κράτιστος,83,0.28,49.12
ἐχθρός,80,0.27,49.39
ἱερός,80,0.27,49.66
ἥκιστος,80,0.27,49.93
πολεμικός,80,0.27,50.2
ψευδής,78,0.26,50.46
ἑκών,77,0.26,50.72
κρείσσων,74,0.25,50.97
πάτριος,73,0.25,51.21
τηλικοῦτος,72,0.24,51.46
ἐρῆμος,70,0.24,51.69
πατρῷος,69,0.23,51.93
ἀμείνων,68,0.23,52.16
λαμπρός,67,0.23,52.38
