Word,Count,Percentage of total,Cumulative percentage of total
μέγας,5933,2.8,2.8
δημόσιος,4809,2.27,5.07
λαμπρός,3427,1.62,6.69
βασιλικός,3419,1.61,8.3
ἥμισυς,3212,1.52,9.82
λοιπός,3123,1.47,11.29
ἴδιος,2770,1.31,12.6
κύριος,2752,1.3,13.9
δίκαιος,2570,1.21,15.11
φίλος,2402,1.13,16.25
πρέσβυς,2011,0.95,17.2
ἀγαθός,1957,0.92,18.12
νέος,1828,0.86,18.98
καθαρός,1827,0.86,19.85
μέτοχος,1770,0.84,20.68
ἱερός,1664,0.79,21.47
ἴσος,1568,0.74,22.21
μέσος,1521,0.72,22.93
καλός,1491,0.7,23.63
ἀριστερός,1435,0.68,24.31
ῥυπαρός,1429,0.67,24.98
ἅγιος,1407,0.66,25.65
κακός,1400,0.66,26.31
ἀργυρικός,1395,0.66,26.97
θεῖος,1390,0.66,27.62
κοινός,1377,0.65,28.27
δεξιός,1319,0.62,28.89
πρότερος,1244,0.59,29.48
πλήρης,1182,0.56,30.04
μικρός,1047,0.49,30.53
χάλκεος,1030,0.49,31.02
δεῖνα,958,0.45,31.47
ἰδιωτικός,892,0.42,31.89
αἰώνιος,883,0.42,32.31
κεφάλαιος,856,0.4,32.72
χωματικός,854,0.4,33.12
γεωργός,827,0.39,33.51
ἄσημος,786,0.37,33.88
ὀνικός,767,0.36,34.24
ἄξιος,765,0.36,34.6
βοηθός,755,0.36,34.96
ἔνδοξος,740,0.35,35.31
ἐπίτροπος,729,0.34,35.65
βέβαιος,705,0.33,35.99
σιτικός,696,0.33,36.31
Παρθικός,691,0.33,36.64
Ἀχαιός,687,0.32,36.96
μακάριος,655,0.31,37.27
ἀναγκαῖος,639,0.3,37.58
ἐπιφανής,638,0.3,37.88
ἀντίγραφον,635,0.3,38.18
Καρηνίς,629,0.3,38.47
ἀληθής,623,0.29,38.77
σπόριμος,621,0.29,39.06
διπλόος,611,0.29,39.35
πλείων,602,0.28,39.63
