Word,Count,Percentage of total,Cumulative percentage of total
μέγας,1294,4.13,4.13
πρότερος,633,2.02,6.16
ἀγαθός,580,1.85,8.01
καλός,554,1.77,9.78
πλείων,484,1.55,11.32
δίκαιος,466,1.49,12.81
ἴδιος,460,1.47,14.28
πλεῖστος,372,1.19,15.47
λοιπός,357,1.14,16.61
κοινός,348,1.11,17.72
κακός,340,1.09,18.81
ἀληθής,338,1.08,19.89
δεινός,277,0.88,20.77
ὕστερος,264,0.84,21.62
ἄξιος,264,0.84,22.46
ἐναντίος,250,0.8,23.26
Ἀθηναῖος,246,0.79,24.04
οἰκεῖος,242,0.77,24.82
μικρός,237,0.76,25.58
νέος,215,0.69,26.26
ταχύς,211,0.67,26.94
πεζός,211,0.67,27.61
δῆλος,197,0.63,28.24
δυνατός,193,0.62,28.86
ἱκανός,192,0.61,29.47
αἴτιος,187,0.6,30.07
ἴσος,185,0.59,30.66
ἄριστος,168,0.54,31.19
φανερός,168,0.54,31.73
ἥσσων,156,0.5,32.23
ἐπιτήδειος,151,0.48,32.71
ἀναγκαῖος,151,0.48,33.19
πολέμιος,151,0.48,33.68
ἐλάσσων,149,0.48,34.15
ἐλεύθερος,144,0.46,34.61
μέσος,143,0.46,35.07
βελτίων,141,0.45,35.52
βραχύς,138,0.44,35.96
ἡδύς,133,0.42,36.39
πρέσβυς,129,0.41,36.8
χαλεπός,127,0.41,37.2
αἰσχρός,125,0.4,37.6
παλαιός,117,0.37,37.98
ἀρχαῖος,115,0.37,38.34
ἰσχυρός,115,0.37,38.71
ναυτικός,115,0.37,39.08
κύριος,114,0.36,39.44
φίλος,111,0.35,39.8
τελευταῖος,110,0.35,40.15
μυρίος,108,0.35,40.49
μακρός,107,0.34,40.84
ὅμοιος,106,0.34,41.17
ἑτοῖμος,106,0.34,41.51
πλούσιος,106,0.34,41.85
παραπλήσιος,105,0.34,42.19
χρύσεος,105,0.34,42.52
ὅσιος,104,0.33,42.85
ἔνιοι,104,0.33,43.19
πονηρός,102,0.33,43.51
χρήσιμος,98,0.31,43.83
σοφός,98,0.31,44.14
Ἑλληνικός,97,0.31,44.45
αἰχμάλωτος,95,0.3,44.75
ὑπεναντίος,94,0.3,45.05
δημόσιος,93,0.3,45.35
πλέος,93,0.3,45.65
πολιτικός,93,0.3,45.94
ἀδύνατος,92,0.29,46.24
ῥᾴδιος,91,0.29,46.53
χρηστός,88,0.28,46.81
ἄδικος,85,0.27,47.08
ἐπιφανής,84,0.27,47.35
κράτιστος,83,0.27,47.61
ἥκιστος,80,0.26,47.87
ἐχθρός,80,0.26,48.12
ἱερός,80,0.26,48.38
πολεμικός,80,0.26,48.64
ψευδής,78,0.25,48.89
ἑκών,77,0.25,49.13
κρείσσων,74,0.24,49.37
πάτριος,73,0.23,49.6
τηλικοῦτος,72,0.23,49.83
ἐρῆμος,70,0.22,50.05
πατρῷος,69,0.22,50.27
ἀμείνων,68,0.22,50.49
ἀλλότριος,67,0.21,50.71
λαμπρός,67,0.21,50.92
συγγενής,66,0.21,51.13
δεξιός,65,0.21,51.34
ἀσφαλής,64,0.2,51.54
χείρων,63,0.2,51.74
βέλτιστος,63,0.2,51.95
βασιλικός,62,0.2,52.14
ὑστεραῖος,61,0.19,52.34
φαῦλος,60,0.19,52.53
σαφής,58,0.19,52.72
κατήγορος,58,0.19,52.9
μέτριος,57,0.18,53.08
ἐλάχιστος,56,0.18,53.26
φοβερός,54,0.17,53.43
συνεχής,54,0.17,53.61
σύμμαχος,53,0.17,53.78
θαυμαστός,52,0.17,53.94
ἄπιστος,52,0.17,54.11
ἐπιχώριος,52,0.17,54.27
σώφρων,51,0.16,54.44
γυμνός,51,0.16,54.6
εὔνους,51,0.16,54.76
νόμιμος,50,0.16,54.92
εὐδαίμων,50,0.16,55.08
ὕπατος,50,0.16,55.24
ἔσχατος,48,0.15,55.4
ἀνόσιος,48,0.15,55.55
ὁμοῖος,48,0.15,55.7
παράδοξος,48,0.15,55.86
θεῖος1,47,0.15,56.01
βέβαιος,47,0.15,56.16
βαρύς,47,0.15,56.31
βάρβαρος,47,0.15,56.46
ἱππικός,46,0.15,56.6
ἀέκων,45,0.14,56.75
ἀσθενής,45,0.14,56.89
ἀξιόλογος,45,0.14,57.03
καινός,44,0.14,57.17
ἀθρόος,44,0.14,57.32
διάφορος,44,0.14,57.46
πολυτελής,43,0.14,57.59
ἥμισυς,43,0.14,57.73
ἀνθρώπινος,42,0.13,57.86
πρόθυμος,42,0.13,58.0
Μηδικός,41,0.13,58.13
πεζικός,41,0.13,58.26
γνώριμος,40,0.13,58.39
Περσικός,40,0.13,58.52
ὑποχείριος,40,0.13,58.64
σεμνός,38,0.12,58.77
ἐγκρατής,38,0.12,58.89
συχνός,38,0.12,59.01
Τρωικός,38,0.12,59.13
πιστός2,37,0.12,59.25
Ἀττικός,37,0.12,59.37
Λακωνικός,37,0.12,59.48
παράνομος,36,0.12,59.6
γενναῖος,36,0.12,59.71
ὁλοσχερής,36,0.12,59.83
ἔνοχος,35,0.11,59.94
ἐνδεής,35,0.11,60.05
ἄτοπος,35,0.11,60.16
βίαιος,35,0.11,60.28
ἀφανής,34,0.11,60.39
ἄδηλος,34,0.11,60.49
ὀρθός,34,0.11,60.6
λευκός,34,0.11,60.71
στρατιωτικός,34,0.11,60.82
περισσός,33,0.11,60.93
ἐρωτικός,33,0.11,61.03
ἔνδοξος,33,0.11,61.14
ἄπειρος1,33,0.11,61.24
ἄπορος,33,0.11,61.35
αὐτόνομος,33,0.11,61.45
σμικρός,33,0.11,61.56
κεφάλαιος,32,0.1,61.66
πλήρης,32,0.1,61.76
μεστός,32,0.1,61.86
καθαρός,31,0.1,61.96
ἀκριβής,31,0.1,62.06
τάχιστος,31,0.1,62.16
ἀληθινός,31,0.1,62.26
Ῥωμαῖος,31,0.1,62.36
εὐώνυμος,31,0.1,62.46
ἐπίτροπος,30,0.1,62.55
ὑπόλοιπος,30,0.1,62.65
ἀκόλουθος,30,0.1,62.75
χρηματιστικός,30,0.1,62.84
κενός,29,0.09,62.93
θνητός,29,0.09,63.03
αἱρετός,29,0.09,63.12
πολλαπλάσιος,29,0.09,63.21
βαθύς,29,0.09,63.31
καρτερός,29,0.09,63.4
λεπτός,28,0.09,63.49
ἐπιεικής,28,0.09,63.58
φιλότιμος,28,0.09,63.67
φιλάνθρωπος,28,0.09,63.76
συνήθης,28,0.09,63.84
ξενικός,28,0.09,63.93
ἀντίπαλος,28,0.09,64.02
δοῦλος,28,0.09,64.11
ἀπόρρητος,28,0.09,64.2
τέλειος,28,0.09,64.29
σπουδαῖος,27,0.09,64.38
ταὐτός,27,0.09,64.46
φρόνιμος,27,0.09,64.55
Λακεδαιμόνιος,27,0.09,64.64
ποικίλος,27,0.09,64.72
ὡραῖος,26,0.08,64.81
δημοτικός,26,0.08,64.89
εὐφυής,26,0.08,64.97
ὅμορος,26,0.08,65.06
Κορίνθιος,26,0.08,65.14
Ἀφροδίσιος,26,0.08,65.22
παμπολύς,26,0.08,65.3
