Word,Count,Percentage of total,Cumulative percentage of total
μέγας,1117,3.45,3.45
φίλος,950,2.94,6.39
κακός,893,2.76,9.16
Ἀχαιός,676,2.09,11.25
δῖος,428,1.32,12.57
καλός,401,1.24,13.81
ἑός,355,1.1,14.91
ἀθάνατος,305,0.94,15.85
ἄριστος,283,0.88,16.73
δεινός,244,0.75,17.48
Ἀργεῖος,214,0.66,18.14
μέλας,213,0.66,18.8
ἐσθλός,212,0.66,19.46
μακρός,206,0.64,20.1
μέσος,204,0.63,20.73
πρότερος,198,0.61,21.34
ταχύς,193,0.6,21.94
κρατερός,189,0.58,22.52
εὐρύς,188,0.58,23.1
νέος,186,0.58,23.68
ἀγαθός,179,0.55,24.23
χρύσεος,176,0.54,24.77
ὀξύς,170,0.53,25.3
ἴσος,162,0.5,25.8
οἶος,161,0.5,26.3
θοός,149,0.46,26.76
πτερόεις,140,0.43,27.19
ὠκύς,133,0.41,27.61
θνητός,131,0.41,28.01
ἀμύμων,128,0.4,28.41
ἱερός,110,0.34,28.75
τάλας,108,0.33,29.08
φαεινός,106,0.33,29.41
κλυτός,104,0.32,29.73
πλείων,102,0.32,30.05
χάλκεος,95,0.29,30.34
πατρίς,94,0.29,30.63
ἀντίος,93,0.29,30.92
θεῖος,92,0.28,31.2
αἰνός,90,0.28,31.48
ἐχθρός,90,0.28,31.76
λευκός,89,0.28,32.03
βαρύς,88,0.27,32.31
ἄκρος,86,0.27,32.57
πυκνός,86,0.27,32.84
μεγάθυμος,85,0.26,33.1
λυγρός,83,0.26,33.36
ἀργαλέος,81,0.25,33.61
δίκαιος,81,0.25,33.86
νήπιος,80,0.25,34.11
γλαφυρός,80,0.25,34.35
ἀγλαός,79,0.24,34.6
φαίδιμος,79,0.24,34.84
χαλεπός,76,0.24,35.08
πατρῷος,75,0.23,35.31
γλαυκῶπις,74,0.23,35.54
Ὀλύμπιος,72,0.22,35.76
ἀμείνων,72,0.22,35.98
φίλτατος,72,0.22,36.21
ἡδύς,71,0.22,36.43
κοῖλος,70,0.22,36.64
αἰγίοχος,70,0.22,36.86
δύστηνος,69,0.21,37.07
δαίφρων,67,0.21,37.28
ὑψηλός,67,0.21,37.49
ἀμφίπολος,67,0.21,37.69
παλαιός,67,0.21,37.9
κεῖνος,66,0.2,38.11
αἰδοῖος,66,0.2,38.31
ἀέκων,64,0.2,38.51
ἀεικής,63,0.19,38.7
δάιος,63,0.19,38.9
ζωός,62,0.19,39.09
αἰπύς,61,0.19,39.28
ὀλοός,60,0.19,39.46
ξένος,60,0.19,39.65
ἔμπεδος,58,0.18,39.83
ὕστερος,57,0.18,40.0
τεός,56,0.17,40.18
ἀντίθεος,56,0.17,40.35
πιστός,56,0.17,40.52
στυγερός,56,0.17,40.7
ἄλκιμος,56,0.17,40.87
γλυκύς,55,0.17,41.04
πότνια,55,0.17,41.21
μεγαλήτωρ,55,0.17,41.38
πολύμητις,54,0.17,41.55
πλεῖστος,54,0.17,41.72
ἄγριος,53,0.16,41.88
περικαλλής,52,0.16,42.04
ἱππόδαμος,52,0.16,42.2
πικρός,52,0.16,42.36
ἴφθιμος,51,0.16,42.52
γεραιός,51,0.16,42.68
πολιός,51,0.16,42.84
δηρός,51,0.16,42.99
ἀγαυός,51,0.16,43.15
ἀργύρεος,50,0.15,43.31
ἐύς,49,0.15,43.46
ποικίλος,49,0.15,43.61
ὀρθός,49,0.15,43.76
φέρτατος,48,0.15,43.91
βαθύς,48,0.15,44.06
ἅλιος,48,0.15,44.21
νηλής,48,0.15,44.35
πίων,47,0.15,44.5
ξανθός,47,0.15,44.64
διογενής,46,0.14,44.79
πρόμαχος,46,0.14,44.93
λοιπός,46,0.14,45.07
θεοειδής,45,0.14,45.21
δυσμενής,45,0.14,45.35
ἁγνός,45,0.14,45.49
δειλός,44,0.14,45.62
οὔτις,44,0.14,45.76
θεσπέσιος,43,0.13,45.89
ὄβριμος,43,0.13,46.03
λευκώλενος,42,0.13,46.16
στιβαρός,42,0.13,46.29
κοινός,42,0.13,46.42
κρείσσων,41,0.13,46.54
σχέτλιος,41,0.13,46.67
θαλερός,41,0.13,46.8
σμερδαλέος,41,0.13,46.92
ἄρειος,41,0.13,47.05
ἑκών,41,0.13,47.18
δεξιός,41,0.13,47.3
μυρίος,40,0.12,47.43
πρόφρων,40,0.12,47.55
μαλακός,40,0.12,47.68
λαμπρός,40,0.12,47.8
αἰσχρός,40,0.12,47.92
περίφρων,40,0.12,48.05
ἄτιμος,39,0.12,48.17
κορυθαίολος,39,0.12,48.29
τυτθός,38,0.12,48.41
πεζός,38,0.12,48.52
θρασύς,38,0.12,48.64
κεδνός,38,0.12,48.76
καρτερός,37,0.11,48.87
ἀγήνωρ,37,0.11,48.99
θῆλυς,37,0.11,49.1
διπλόος,37,0.11,49.22
ἄξιος,37,0.11,49.33
νημερτής,36,0.11,49.44
χάλκειος,36,0.11,49.55
κυδάλιμος,36,0.11,49.66
εὔκομος,35,0.11,49.77
ὅμοιος,35,0.11,49.88
ἀφνειός,35,0.11,49.99
ποδώκης,35,0.11,50.1
κερδίων,35,0.11,50.21
παῦρος,34,0.11,50.31
ἀτάλαντος,34,0.11,50.42
Γερήνιος,34,0.11,50.52
ἄσπετος,34,0.11,50.63
ἀληθής,34,0.11,50.73
διοτρεφής,34,0.11,50.84
κελαινός,33,0.1,50.94
παντοῖος,33,0.1,51.04
ἐυκτίμενος,33,0.1,51.14
πρυμνός,33,0.1,51.24
ἀολλής,33,0.1,51.35
ἐυκνήμις,31,0.1,51.44
