Word,Count,Percentage of total,Cumulative percentage of total
μέγας,114,6.13,6.13
δίδυμος,84,4.52,10.65
φίλος,62,3.33,13.98
λοιπός,59,3.17,17.15
σησάμινος,37,1.99,19.14
ἴδιος,35,1.88,21.02
ἥμισυς,33,1.77,22.8
δίκαιος,31,1.67,24.46
νέος,28,1.51,25.97
ὀρφανός,27,1.45,27.42
μικρός,27,1.45,28.87
ἐπίτροπος,26,1.4,30.27
κύριος,24,1.29,31.56
ἀναγκαῖος,22,1.18,32.74
καλός,22,1.18,33.92
βασιλικός,22,1.18,35.11
τίμιος,21,1.13,36.24
Ἰουδαῖος,20,1.08,37.31
θεῖος1,18,0.97,38.28
ἀντίγραφος,17,0.91,39.19
πρότερος,16,0.86,40.05
πλείων,16,0.86,40.91
μέλας,13,0.7,41.61
χρήσιμος,12,0.65,42.26
πλήρης,11,0.59,42.85
ἡμιόλιος,11,0.59,43.44
γεωργός,11,0.59,44.03
δημόσιος,11,0.59,44.62
ἱερός,10,0.54,45.16
χάλκεος,10,0.54,45.7
ἀριστερός,10,0.54,46.24
δυνατός,9,0.48,46.72
ψιλός,9,0.48,47.2
ταχύς,9,0.48,47.69
ἱκανός,9,0.48,48.17
καθαρός,8,0.43,48.6
γλυκύς,8,0.43,49.03
ἑτοῖμος,8,0.43,49.46
Αἰγύπτιος,7,0.38,49.84
ἐπίτιμος,7,0.38,50.22
ἐλεύθερος,7,0.38,50.59
ἅγιος,7,0.38,50.97
ἄξιος,7,0.38,51.34
ὅμοιος,7,0.38,51.72
ἐνοίκιος,7,0.38,52.1
ἀβάσκαντος,7,0.38,52.47
ἀγαθός,7,0.38,52.85
ἐπάναγκος,6,0.32,53.17
ἥσσων,6,0.32,53.49
πατρικός,6,0.32,53.82
θῆλυς,6,0.32,54.14
μέσος,6,0.32,54.46
κοινός,6,0.32,54.78
πρέσβυς,6,0.32,55.11
ἁπλόος,6,0.32,55.43
μακάριος,6,0.32,55.75
ἀμφότεροι,6,0.32,56.08
μετέωρος,6,0.32,56.4
ἴσος,6,0.32,56.72
γνήσιος,6,0.32,57.04
Ἠνγαδηνός,6,0.32,57.37
ἐπιτήδειος,5,0.27,57.63
βοηθός,5,0.27,57.9
λαμπρός,5,0.27,58.17
τέλειος,5,0.27,58.44
κεφάλαιος,5,0.27,58.71
ἐλαικός,5,0.27,58.98
καινός,5,0.27,59.25
μακροπρόσωπος,5,0.27,59.52
τρίμηνος,4,0.22,59.73
ἄκυρος,4,0.22,59.95
καθάρειος,4,0.22,60.16
πάτριος,4,0.22,60.38
δίδραχμος,4,0.22,60.59
προγονικός,4,0.22,60.81
πονηρός,4,0.22,61.02
διάφορος,4,0.22,61.24
Πτολεμαικός,4,0.22,61.45
μαχαιροφόρος,4,0.22,61.67
εὔσταθμος,4,0.22,61.88
ἐλάσσων,4,0.22,62.1
λευκός,4,0.22,62.31
σύμβιος,4,0.22,62.53
γερδιακός,4,0.22,62.74
περισσός,4,0.22,62.96
Ἐνγαδηνός,4,0.22,63.17
Δεκέμβριος,4,0.22,63.39
λεπτός,4,0.22,63.6
ἐμβόλιμος,4,0.22,63.82
μάχιμος,4,0.22,64.03
διπλόος,4,0.22,64.25
