Word,Count,Percentage of total,Cumulative percentage of total
μέγας,236,5.05,5.05
ἅγιος,220,4.71,9.76
Ἰουδαῖος,193,4.13,13.89
νεκρός,125,2.67,16.56
ἴδιος,104,2.23,18.79
ἀγαθός,99,2.12,20.91
καλός,98,2.1,23.0
ἱερός,73,1.56,24.57
πονηρός,70,1.5,26.06
δίκαιος,66,1.41,27.48
πιστός,63,1.35,28.83
πρέσβυς,62,1.33,30.15
μέσος,59,1.26,31.41
αἰώνιος,59,1.26,32.68
κακός,54,1.16,33.83
λοιπός,54,1.16,34.99
δεξιός,53,1.13,36.12
τυφλός,49,1.05,37.17
ἐρῆμος,48,1.03,38.2
ἔσχατος,48,1.03,39.23
μακάριος,48,1.03,40.25
μικρός,46,0.98,41.24
ἁμαρτωλός,45,0.96,42.2
ὅμοιος,43,0.92,43.12
ἀγαπητός,41,0.88,44.0
ἄξιος,41,0.88,44.87
ἱκανός,40,0.86,45.73
καινός,36,0.77,46.5
πτωχός,34,0.73,47.23
δυνατός,32,0.68,47.91
ἐχθρός,32,0.68,48.6
ἀκάθαρτος,31,0.66,49.26
πλούσιος,28,0.6,49.86
ἰσχυρός,27,0.58,50.44
καθαρός,26,0.56,51.0
πνευματικός,26,0.56,51.55
φίλος,26,0.56,52.11
λευκός,25,0.53,52.64
ἀσθενής,24,0.51,53.16
ἀληθινός,24,0.51,53.67
ἄπιστος,23,0.49,54.16
ἐλεύθερος,23,0.49,54.65
νέος,22,0.47,55.13
περισσός,22,0.47,55.6
ἀληθής,21,0.45,56.05
ἐκλεκτός,20,0.43,56.47
σοφός,20,0.43,56.9
κρυπτός,19,0.41,57.31
ἐπουράνιος,19,0.41,57.71
κενός,18,0.39,58.1
χρύσεος,18,0.39,58.48
τέλειος,18,0.39,58.87
ἐλαχύς,18,0.39,59.26
παλαιός,17,0.36,59.62
φανερός,17,0.36,59.98
κρατύς,17,0.36,60.35
ταχύς,16,0.34,60.69
ἑτοῖμος,16,0.34,61.03
πλήρης,15,0.32,61.35
γυμνός,15,0.32,61.67
θεμέλιος,15,0.32,61.99
γνωστός,15,0.32,62.32
ὄψιος,14,0.3,62.62
κωφός,14,0.3,62.91
χωλός,14,0.3,63.21
νήπιος,14,0.3,63.51
φρόνιμος,14,0.3,63.81
ἀλλότριος,14,0.3,64.11
ὕψιστος,13,0.28,64.39
κοινός,13,0.28,64.67
δέσμιος,13,0.28,64.95
Ναζωραῖος,13,0.28,65.23
ὑψηλός,12,0.26,65.48
μακρός,12,0.26,65.74
μωρός,12,0.26,66.0
Ῥωμαῖος,12,0.26,66.25
ὑγιής,11,0.24,66.49
συγγενής,11,0.24,66.72
Γαλιλαῖος,11,0.24,66.96
τίμιος,11,0.24,67.19
συνεργός,11,0.24,67.43
ἄφρων,11,0.24,67.67
ξένος,11,0.24,67.9
παραλυτικός,10,0.21,68.11
ἔνοχος,10,0.21,68.33
ἐναντίος,10,0.21,68.54
ἀδύνατος,10,0.21,68.76
ἀρχαῖος,10,0.21,68.97
ἄδικος,10,0.21,69.18
λεπρός,9,0.19,69.38
ἄρσην,9,0.19,69.57
εὐώνυμος,9,0.19,69.76
ἄζυμος,9,0.19,69.96
εἰδωλόθυτος,9,0.19,70.15
ἄβυσσος,9,0.19,70.34
λαμπρός,9,0.19,70.53
κλητός,9,0.19,70.73
νομικός,9,0.19,70.92
οὐράνιος,9,0.19,71.11
ποικίλος,8,0.17,71.28
ξηρός,8,0.17,71.45
ἴσος,8,0.17,71.62
εὐλογητός,8,0.17,71.8
πρωτότοκος,8,0.17,71.97
ὀξύς,8,0.17,72.14
θεῖος,8,0.17,72.31
ὅσιος,8,0.17,72.48
ἄνομος,8,0.17,72.65
ἀδόκιμος,8,0.17,72.82
ἀναγκαῖος,8,0.17,72.99
μονογενής,8,0.17,73.16
εὐάρεστος,8,0.17,73.34
μεστός,8,0.17,73.51
σαπρός,8,0.17,73.68
εὐθύς,7,0.15,73.83
εὔκοπος,7,0.15,73.98
ἄμωμος,7,0.15,74.13
ἀνθρώπινος,7,0.15,74.28
σαρκικός,7,0.15,74.43
ἄφθαρτος,7,0.15,74.58
δόκιμος,7,0.15,74.73
χρηστός,7,0.15,74.88
ἐπίγειος,7,0.15,75.03
βέβαιος,7,0.15,75.18
ταπεινός,7,0.15,75.33
ἁγνός,7,0.15,75.48
ἀργός,7,0.15,75.63
θαυμαστός,6,0.13,75.75
χειροποίητος,6,0.13,75.88
Κυρηναῖος,6,0.13,76.01
κόκκινος,6,0.13,76.14
μάταιος,6,0.13,76.27
φθαρτός,6,0.13,76.4
βάρβαρος,6,0.13,76.52
θνητός,6,0.13,76.65
μέτοχος,6,0.13,76.78
βραχύς,6,0.13,76.91
φαῦλος,6,0.13,77.04
ἀνυπόκριτος,6,0.13,77.17
ἀνόητος,6,0.13,77.3
ἀπειθής,6,0.13,77.42
ἄκαρπος,5,0.11,77.53
ἄρρωστος,5,0.11,77.64
ἥμισυς,5,0.11,77.74
ἀσύνετος,5,0.11,77.85
θῆλυς,5,0.11,77.96
ποδαπός,5,0.11,78.07
εὐσχήμων,5,0.11,78.17
σιδήρεος,5,0.11,78.28
ἔμφοβος,5,0.11,78.39
ἔμπορος,5,0.11,78.49
βύσσινος,5,0.11,78.6
ἀνέγκλητος,5,0.11,78.71
ψυχικός,5,0.11,78.81
ἅρπαξ,5,0.11,78.92
αἴτιος,5,0.11,79.03
ἀσφαλής,5,0.11,79.14
ἄμεμπτος,5,0.11,79.24
ἀόρατος,5,0.11,79.35
Αἰγύπτιος,5,0.11,79.46
βέβηλος,5,0.11,79.56
δεκτός,5,0.11,79.67
εὐπρόσδεκτος,5,0.11,79.78
βαρύς,5,0.11,79.88
