Word,Count,Percentage of total,Cumulative percentage of total
δημόσιος,4704,3.32,3.32
βασιλικός,3329,2.35,5.67
λαμπρός,3306,2.33,8.0
μέγας,3172,2.24,10.24
ἥμισυς,3111,2.2,12.44
λοιπός,2607,1.84,14.28
κύριος,2605,1.84,16.12
ἴδιος,2166,1.53,17.65
δίκαιος,1926,1.36,19.01
πρέσβυς,1801,1.27,20.28
μέτοχος,1764,1.25,21.52
καθαρός,1750,1.24,22.76
ῥυπαρός,1425,1.01,23.77
ἀργυρικός,1393,0.98,24.75
ἱερός,1391,0.98,25.73
νέος,1377,0.97,26.7
ἀριστερός,1367,0.97,27.67
θεῖος,1275,0.9,28.57
φίλος,1253,0.88,29.45
ἴσος,1207,0.85,30.31
ἅγιος,1170,0.83,31.13
δεξιός,1158,0.82,31.95
πλήρης,1119,0.79,32.74
μέσος,1109,0.78,33.52
ἀγαθός,1092,0.77,34.29
κοινός,968,0.68,34.98
δεῖνα,958,0.68,35.65
χάλκεος,900,0.64,36.29
ἰδιωτικός,881,0.62,36.91
χωματικός,853,0.6,37.51
αἰώνιος,823,0.58,38.09
κεφάλαιος,819,0.58,38.67
γεωργός,790,0.56,39.23
ἄσημος,769,0.54,39.77
ὀνικός,765,0.54,40.31
βοηθός,729,0.51,40.83
μικρός,709,0.5,41.33
ἔνδοξος,702,0.5,41.82
σιτικός,695,0.49,42.31
Παρθικός,690,0.49,42.8
ἐπίτροπος,670,0.47,43.27
βέβαιος,644,0.45,43.73
Καρηνίς,629,0.44,44.17
ἀντίγραφον,628,0.44,44.61
σπόριμος,617,0.44,45.05
μακάριος,585,0.41,45.46
κατοικικός,572,0.4,45.87
ἔπαρχος,566,0.4,46.27
ἐπιφανής,553,0.39,46.66
διπλόος,544,0.38,47.04
ψιλός,541,0.38,47.42
ἐνοίκιος,540,0.38,47.8
ἀγράμματος,521,0.37,48.17
ἡμιόλιος,480,0.34,48.51
εὐσεβής,480,0.34,48.85
τίμιος,465,0.33,49.18
διάσημος,462,0.33,49.5
τέλειος,454,0.32,49.82
ἀναγκαῖος,450,0.32,50.14
ἄβροχος,448,0.32,50.46
ἐλαχύς,440,0.31,50.77
βαλανευτικός,437,0.31,51.08
ἁπλόος,436,0.31,51.39
διάφορος,428,0.3,51.69
καλός,416,0.29,51.98
ἄξιος,416,0.29,52.27
ἐπίτιμος,412,0.29,52.57
πρότερος,396,0.28,52.85
κανήφορος,385,0.27,53.12
παντοῖος,375,0.26,53.38
σεβαστός,367,0.26,53.64
ἄδολος,365,0.26,53.9
ἔγγραφος,360,0.25,54.15
ἀκίνδυνος,358,0.25,54.41
ἀρίθμιος,355,0.25,54.66
ὁλόκληρος,353,0.25,54.91
Μηδικός,347,0.24,55.15
Ἀρμενιακός,340,0.24,55.39
δίμοιρος,334,0.24,55.63
θαυμάσιος,332,0.23,55.86
ἔνοχος,327,0.23,56.09
κρατύς,326,0.23,56.32
μοναστήριος,323,0.23,56.55
εὐτυχής,321,0.23,56.78
μακροπρόσωπος,319,0.23,57.0
πατρικός,315,0.22,57.22
μεγαλοπρεπής,314,0.22,57.45
ἄκυρος,313,0.22,57.67
εὐλαβής,306,0.22,57.88
καινός,303,0.21,58.1
παλαιός,300,0.21,58.31
δισσός,295,0.21,58.52
ἥσσων,290,0.2,58.72
εἰκάς,287,0.2,58.92
φανερός,282,0.2,59.12
ἔγγυος,266,0.19,59.31
ἀδιαίρετος,258,0.18,59.49
Ἀρσινόειτος,253,0.18,59.67
βαλανικός,252,0.18,59.85
χρύσεος,251,0.18,60.03
πανεύφημος,235,0.17,60.19
εὐδόκιμος,232,0.16,60.36
σύμβιος,231,0.16,60.52
ἀληθής,229,0.16,60.68
δοχικός,228,0.16,60.84
ἱκανός,227,0.16,61.0
νόμιμος,224,0.16,61.16
οὐσιακός,222,0.16,61.32
ἑκατοντάρουρος,221,0.16,61.47
ἐπιτήδειος,217,0.15,61.63
ἔναρχος,216,0.15,61.78
ἐπάναγκος,214,0.15,61.93
Ῥωμαῖος,214,0.15,62.08
ὁμοπάτριος,211,0.15,62.23
θῆλυς,209,0.15,62.38
ὕπατος,207,0.15,62.52
ἀπότακτος,207,0.15,62.67
ὁμομήτριος,204,0.14,62.81
μόνον,201,0.14,62.96
χλωρός,199,0.14,63.1
εὔσταθμος,196,0.14,63.23
Καισάρειος,191,0.13,63.37
ἀρχαῖος,187,0.13,63.5
ἑκούσιος,185,0.13,63.63
Σαρματικός,182,0.13,63.76
δουλικός,181,0.13,63.89
γεουχικός,181,0.13,64.02
ὅμοιος,178,0.13,64.14
δεκάπρωτος,177,0.12,64.27
ἀνυπόλογος,177,0.12,64.39
περίβλεπτος,176,0.12,64.52
Αἰγύπτιος,176,0.12,64.64
δραχμιαῖος,175,0.12,64.76
θεοφιλής,174,0.12,64.89
πολιτικός,173,0.12,65.01
κοῦφος,173,0.12,65.13
συμβολικός,171,0.12,65.25
σχολαστικός,171,0.12,65.37
γνήσιος,168,0.12,65.49
ἀμπελικός,168,0.12,65.61
ταχύς,167,0.12,65.73
λευκός,163,0.12,65.84
συγγενής,161,0.11,65.96
εὐάρεστος,160,0.11,66.07
σεβάσμιος,159,0.11,66.18
ἐλεύθερος,157,0.11,66.29
παραχωρητικός,156,0.11,66.4
ἀκόλουθος,155,0.11,66.51
ὑπερφυής,155,0.11,66.62
συνήθης,155,0.11,66.73
ξένος,153,0.11,66.84
δεσποτικός,153,0.11,66.95
ὁμογνήσιος,152,0.11,67.05
αἰδέσιμος,151,0.11,67.16
σύμμαχος,150,0.11,67.27
ἄγραφος,149,0.11,67.37
ἐπίσημος,148,0.1,67.48
Ἑρμουπολίτης,144,0.1,67.58
ὑικός,143,0.1,67.68
τετραχοίνικος,141,0.1,67.78
γενναῖος,139,0.1,67.88
ἔμβροχος,139,0.1,67.97
χρυσικός,139,0.1,68.07
συνγενής,138,0.1,68.17
ἐναντίος,138,0.1,68.27
ἀσφαλής,138,0.1,68.36
γερδιακός,136,0.1,68.46
οἰκεῖος,136,0.1,68.56
ἀγαπητός,136,0.1,68.65
δόκιμος,135,0.1,68.75
εὐγενής,134,0.09,68.84
σύμφωνος,132,0.09,68.94
δυνατός,131,0.09,69.03
Ἀθηναῖος,130,0.09,69.12
ὑδραγωγός,129,0.09,69.21
ἀλλότριος,129,0.09,69.3
εὐκλεής,129,0.09,69.39
δοῦλος,129,0.09,69.48
θηλυκός,129,0.09,69.57
Γαλλικός,128,0.09,69.67
χρύσινος,127,0.09,69.75
γραμματικός,127,0.09,69.84
εὐαγής,123,0.09,69.93
ἄρσην,122,0.09,70.02
νομικός,122,0.09,70.1
ἀθλοφόρος,122,0.09,70.19
ἑτοῖμος,122,0.09,70.28
γεωργικός,121,0.09,70.36
μητρικός,121,0.09,70.45
ὀρφανός,121,0.09,70.53
ἔκδικος,120,0.08,70.62
ἀναπόρριφος,119,0.08,70.7
φιλάνθρωπος,119,0.08,70.78
ἑκών,117,0.08,70.87
καθολικός,116,0.08,70.95
δενδρικός,116,0.08,71.03
ἑξάμηνος,115,0.08,71.11
Μεμνόνειος,114,0.08,71.19
ἀλληλέγγυος,113,0.08,71.27
χρήσιμος,112,0.08,71.35
σύνολος,111,0.08,71.43
γλυκύς,111,0.08,71.51
κακός,110,0.08,71.59
φυλακιτικός,110,0.08,71.66
ἀπάτωρ,108,0.08,71.74
μηνιαῖος,108,0.08,71.82
ἐρῆμος,108,0.08,71.89
κολοβός,108,0.08,71.97
ὁμοούσιος,108,0.08,72.04
τετανός,107,0.08,72.12
ἔντοκος,107,0.08,72.2
ἀδέσποτος,107,0.08,72.27
ἰδιόγραφος,106,0.07,72.35
ὑπόλογος,106,0.07,72.42
ὑγιής,106,0.07,72.5
ἄσπορος,106,0.07,72.57
ἀνθρώπινος,105,0.07,72.64
διακάτοχος,105,0.07,72.72
εὐμεγέθης,103,0.07,72.79
κυριακός,103,0.07,72.86
θεοφύλακτος,103,0.07,72.94
ἀντίδικος,103,0.07,73.01
Κυρηναῖος,103,0.07,73.08
Πτολεμαικός,102,0.07,73.15
ἄπορος,102,0.07,73.23
Ἰουδαῖος,102,0.07,73.3
Φιλαδέλφιος,101,0.07,73.37
παστοφόρος,101,0.07,73.44
σιτόφορος,100,0.07,73.51
Θεαδέλφιος,100,0.07,73.58
μελίχρους,99,0.07,73.65
ὑπεύθυνος,98,0.07,73.72
σύνναος,96,0.07,73.79
εὐσχήμων,96,0.07,73.86
ἐπικεφάλαιος,94,0.07,73.92
μεγαλεῖος,94,0.07,73.99
ἑπτάρουρος,94,0.07,74.06
