Word,Count,Percentage of total,Cumulative percentage of total
Ἀθηναῖος,246,14.86,14.86
Ἑλληνικός,97,5.86,20.71
Μηδικός,41,2.48,23.19
Περσικός,40,2.42,25.6
Τρωικός,38,2.29,27.9
Ἀττικός,37,2.23,30.13
Λακωνικός,37,2.23,32.37
Ῥωμαῖος,31,1.87,34.24
Λακεδαιμόνιος,27,1.63,35.87
Κορίνθιος,26,1.57,37.44
Ἀφροδίσιος,26,1.57,39.01
Βοιώτιος,21,1.27,40.28
Ἄρειος,19,1.15,41.43
Μιλήσιος,19,1.15,42.57
Ἰόνιος,18,1.09,43.66
Σικελικός,16,0.97,44.63
Πελασγικός,15,0.91,45.53
Τυρρηνικός,14,0.85,46.38
Ὀλύμπιος,13,0.79,47.16
Συρακούσιος,13,0.79,47.95
Παιανιεύς,13,0.79,48.73
Βαβυλώνιος,12,0.72,49.46
Ἀργεῖος,12,0.72,50.18
Κρητικός,12,0.72,50.91
Πύθιος,11,0.66,51.57
Ἀρκαδικός,11,0.66,52.23
Αἰγύπτιος,11,0.66,52.9
Σάμιος,10,0.6,53.5
Λιβυκός,10,0.6,54.11
Ἠλεῖος,10,0.6,54.71
Ἑλλήνιος,9,0.54,55.25
Ποντικός,9,0.54,55.8
Θηβαῖος,9,0.54,56.34
Βυζάντιος,9,0.54,56.88
Ἰωνικός,8,0.48,57.37
Συρακόσιος,8,0.48,57.85
Χῖος,8,0.48,58.33
Σωκρατικός,8,0.48,58.82
Ἰταλικός,8,0.48,59.3
Ῥόδιος,7,0.42,59.72
Ἀναφλύστιος,7,0.42,60.14
Κοθωκίδης,7,0.42,60.57
Καρύστιος,6,0.36,60.93
Ἀσσύριος,6,0.36,61.29
Κάσπιος,6,0.36,61.65
Μακεδονικός,6,0.36,62.02
Γαλατικός,6,0.36,62.38
Μεγαλοπολίτης,6,0.36,62.74
Φρεάρριος,6,0.36,63.1
Σφήττιος,5,0.3,63.41
Παναθήναια,5,0.3,63.71
Κυρηναῖος,5,0.3,64.01
Κολοφώνιος,5,0.3,64.31
Πυθικός,5,0.3,64.61
Τήιος,5,0.3,64.92
Ἐπικούρειος,5,0.3,65.22
Σάμος,5,0.3,65.52
Θάσιος,5,0.3,65.82
Πάριος,5,0.3,66.12
Ἀναγυράσιος,5,0.3,66.43
Εὐβοικός,5,0.3,66.73
Κελτικός,5,0.3,67.03
Φλυεύς,5,0.3,67.33
Ῥωμαικός,5,0.3,67.63
Τραχίνιος,5,0.3,67.93
Χολαργεύς,4,0.24,68.18
Ῥαμνούσιος,4,0.24,68.42
Μιτυληναῖος,4,0.24,68.66
Ἐφέσιος,4,0.24,68.9
Θρᾷξ,4,0.24,69.14
Ὀλύνθιος,4,0.24,69.38
Ἡράκλειος,4,0.24,69.63
Λαρισαῖος,4,0.24,69.87
Ἰλιακός,4,0.24,70.11
Σκυθικός,4,0.24,70.35
Καρικός,4,0.24,70.59
Λυδός,4,0.24,70.83
Σικυώνιος,4,0.24,71.07
Κλεομενικός,4,0.24,71.32
Ἀχαϊκός,4,0.24,71.56
Καρχηδόνιος,4,0.24,71.8
Ἀννιβιακός,4,0.24,72.04
Γρακχείος,4,0.24,72.28
Κιμβρικός,4,0.24,72.52
Καρβωνείος,4,0.24,72.77
Ἑλλάς,4,0.24,73.01
Ἀρμένιος,4,0.24,73.25
Ὑρκάνιος,4,0.24,73.49
Σάρδεις,4,0.24,73.73
Ἄνδριος,4,0.24,73.97
Μηθυμναῖος,3,0.18,74.15
Δωδωναῖος,3,0.18,74.34
Κυμαῖος,3,0.18,74.52
Φρύγιος,3,0.18,74.7
Ὀλυμπικός,3,0.18,74.88
Ἀβυδηνός,3,0.18,75.06
Ἰνδικός,3,0.18,75.24
Ταραντῖνος,3,0.18,75.42
Κυζικηνός,3,0.18,75.6
Περγαμηνός,3,0.18,75.79
Κῷος,3,0.18,75.97
Φαληρεύς,3,0.18,76.15
Ῥοδιακός,3,0.18,76.33
Θεσπικός,3,0.18,76.51
Καταναῖος,3,0.18,76.69
Ἐλευσίνιος,3,0.18,76.87
Ἀργολικός,3,0.18,77.05
Λέσβιος,3,0.18,77.23
Λευκτρικός,3,0.18,77.42
Σικυών,3,0.18,77.6
Καμπανοί,3,0.18,77.78
Καρχηδών,3,0.18,77.96
Χαλκιδικός,3,0.18,78.14
Ἀχαιός,3,0.18,78.32
Φάριος,3,0.18,78.5
Λιγυστικός,3,0.18,78.68
Ἰβηρικός,3,0.18,78.86
Αἰτωλός,3,0.18,79.05
Πυρηναῖος,3,0.18,79.23
Διονύσιος,3,0.18,79.41
Σύλλειος,3,0.18,79.59
Συλλείος,3,0.18,79.77
Σύριος,3,0.18,79.95
Φοινικικός,3,0.18,80.13
Αἰνείας,3,0.18,80.31
Ἰουδαικός,3,0.18,80.5
Σουνιεύς,2,0.12,80.62
Ἀζηνιεύς,2,0.12,80.74
Ἀφιδναῖος,2,0.12,80.86
Θράκιος,2,0.12,80.98
Ὁμηρικός,2,0.12,81.1
Σαρδιανός,2,0.12,81.22
Σολεύς,2,0.12,81.34
Λοκρός,2,0.12,81.46
Μελιταῖος,2,0.12,81.58
Εὐρωπιακός,2,0.12,81.7
Πελοποννησιακός,2,0.12,81.82
Ἀριστοτελικός,2,0.12,81.94
Ἡρακλεώτης,2,0.12,82.07
Χαλκιδεύς,2,0.12,82.19
Κνίδιος,2,0.12,82.31
Ἱστορικός,2,0.12,82.43
Φεραῖος,2,0.12,82.55
Αἰγαῖος,2,0.12,82.67
Μεγαρικός,2,0.12,82.79
Αἰγυπτιακός,2,0.12,82.91
Κολοφωνιάκος,2,0.12,83.03
Κέως,2,0.12,83.15
Ἀθήναιος,2,0.12,83.27
Συριακός,2,0.12,83.39
Μύσιος,2,0.12,83.51
Ἀτλαντικός,2,0.12,83.64
Τυρηηνός,2,0.12,83.76
Θριάσιος,2,0.12,83.88
Σαρδῷος,2,0.12,84.0
Ἐρύκινος,2,0.12,84.12
Κεραυνός,2,0.12,84.24
Φαληρεὺς,2,0.12,84.36
Δεκελεικός,2,0.12,84.48
Ἀμφικτυονικός,2,0.12,84.6
Λευκανός,2,0.12,84.72
Μιθριδατείος,2,0.12,84.84
Σπαρτάκειος,2,0.12,84.96
Ὀλυμπιακός,2,0.12,85.08
Ἑλλησπόντιος,2,0.12,85.21
Κλαζομένιος,2,0.12,85.33
Σαλαμίνιος,2,0.12,85.45
Τυρρηνός,2,0.12,85.57
Ἑλληνίς,2,0.12,85.69
Ἀσιανός,2,0.12,85.81
Δήλιος,2,0.12,85.93
Δωρικός,2,0.12,86.05
Ἀμπρακικός,2,0.12,86.17
Μαλόεις,2,0.12,86.29
Σατόρνιος,2,0.12,86.41
Τυρρήνιος,2,0.12,86.53
Κρόνιος,2,0.12,86.65
Μυτιληναῖος,2,0.12,86.78
Ἰσμήνιος,2,0.12,86.9
Καδμεῖος,2,0.12,87.02
Καισάρειος,2,0.12,87.14
Λευκάδιος,2,0.12,87.26
