Word,Count,Percentage of total,Cumulative percentage of total
Ἀχαιός,676,41.5,41.5
Ἀργεῖος,214,13.14,54.63
Ὀλύμπιος,72,4.42,59.05
Γερήνιος,34,2.09,61.14
Τελαμών,30,1.84,62.98
Διοτρεφής,26,1.6,64.58
Καδμεῖος,26,1.6,66.18
Ἡράκλειος,23,1.41,67.59
Τρωιός,18,1.1,68.69
Ἰκάριος,15,0.92,69.61
Ἐπειός,15,0.92,70.53
Τελαμώνιος,14,0.86,71.39
Αἰτωλός,13,0.8,72.19
Ἰδαῖος,13,0.8,72.99
Ἴλιος,13,0.8,73.79
Ἑκάεργος,11,0.68,74.46
Ἰθακήσιος,11,0.68,75.14
Ἀχαιικός,11,0.68,75.81
Θράκιος,11,0.68,76.49
Αἰγύπτιος,10,0.61,77.1
Θηβαῖος,9,0.55,77.66
Τρωικός,7,0.43,78.08
Λύκιος,7,0.43,78.51
Ἀθηναῖος,6,0.37,78.88
Νηλεύς,6,0.37,79.25
Λυδός,6,0.37,79.62
Φρύγιος,5,0.31,79.93
Διιπετής,5,0.31,80.23
Πυθικός,5,0.31,80.54
Ἑκτόρεος,4,0.25,80.79
Ἄσιος,4,0.25,81.03
Δαρδάνιος,4,0.25,81.28
Σιμόεις,4,0.25,81.52
Γόργειος,4,0.25,81.77
Σιδόνιος,4,0.25,82.01
Τρώιος,4,0.25,82.26
Ἀγαμεμνόνεος,4,0.25,82.5
Μυκηναῖος,4,0.25,82.75
Σικελός,4,0.25,83.0
Περσικός,4,0.25,83.24
Βάκχειος,4,0.25,83.49
Σκαμάνδριος,3,0.18,83.67
Μινύειος,3,0.18,83.86
Σελλήεις,3,0.18,84.04
Πελασγικός,3,0.18,84.22
Καπανεύς,3,0.18,84.41
Σατνιόεις,3,0.18,84.59
Πύλιος,3,0.18,84.78
Βοιώτιος,3,0.18,84.96
Πηλιάς,3,0.18,85.14
Αἰγαῖος,3,0.18,85.33
Πελοπίδης,3,0.18,85.51
Κίσσιος,3,0.18,85.7
Αἰγυπτογενής,3,0.18,85.88
Ἀσίς,3,0.18,86.07
Ἑλληνικός,3,0.18,86.25
Διρκαῖος,3,0.18,86.43
Λερναῖος,3,0.18,86.62
Λύδιος,3,0.18,86.8
Πολυσημάντωρ,3,0.18,86.99
Κορίνθιος,3,0.18,87.17
Τραχίς,3,0.18,87.35
Ἀχίλλειος,3,0.18,87.54
Νεστόρεος,2,0.12,87.66
Πυλοιγενής,2,0.12,87.78
Λυκηγενής,2,0.12,87.91
Αἰτώλιος,2,0.12,88.03
Κυθήριος,2,0.12,88.15
Φθῖος,2,0.12,88.28
Ἰξίων,2,0.12,88.4
Κυλλήνη,2,0.12,88.52
Δωδωναῖος,2,0.12,88.64
Νημερτής,2,0.12,88.77
Ἰφικληεῖος,2,0.12,88.89
Αἰαῖος,2,0.12,89.01
