Word,Count,Percentage of total,Cumulative percentage of total
Ἰουδαῖος,193,65.87,65.87
Ναζωραῖος,13,4.44,70.31
Ῥωμαῖος,12,4.1,74.4
Γαλιλαῖος,11,3.75,78.16
Κυρηναῖος,6,2.05,80.2
Αἰγύπτιος,5,1.71,81.91
Ἐφέσιος,5,1.71,83.62
Ἑβραῖος,4,1.37,84.98
Γερασηνός,3,1.02,86.01
Κύπριος,3,1.02,87.03
Ἑβραίς,3,1.02,88.05
Καναναῖος,2,0.68,88.74
Ἑλληνίς,2,0.68,89.42
Κορίνθιος,2,0.68,90.1
Γαλατικός,2,0.68,90.78
Ἄρειος,2,0.68,91.47
Ἀθηναῖος,2,0.68,92.15
Ἀλεξανδρινός,2,0.68,92.83
Ἑλληνικός,1,0.34,93.17
Λευιτικός,1,0.34,93.52
Δαμασκηνός,1,0.34,93.86
Ἰουδαικός,1,0.34,94.2
Ἰτουραῖος,1,0.34,94.54
Τραχωνῖται,1,0.34,94.88
Χαλδαῖος,1,0.34,95.22
Ἰταλικός,1,0.34,95.56
Τύριος,1,0.34,95.9
Σιδώνιος,1,0.34,96.25
Πισίδιος,1,0.34,96.59
Ἐπικούρειος,1,0.34,96.93
Στοϊκός,1,0.34,97.27
Ποντικός,1,0.34,97.61
Διοπετής,1,0.34,97.95
Βεροιαῖος,1,0.34,98.29
Δερβαῖος,1,0.34,98.63
Ἀσιανός,1,0.34,98.98
Ἀδραμυττηνός,1,0.34,99.32
Γαδαρηνός,1,0.34,99.66
Χαναναῖος,1,0.34,100.0
