Word,Count,Percentage of total,Cumulative percentage of total
Παρθικός,690,7.54,7.54
Καρηνίς,629,6.87,14.42
Μηδικός,347,3.79,18.21
Ἀρμενιακός,340,3.72,21.92
Ἀρσινόειτος,253,2.77,24.69
Ῥωμαῖος,214,2.34,27.03
Καισάρειος,191,2.09,29.11
Σαρματικός,182,1.99,31.1
Αἰγύπτιος,176,1.92,33.03
Ἑρμουπολίτης,144,1.57,34.6
Ἀθηναῖος,130,1.42,36.02
Γαλλικός,128,1.4,37.42
Μεμνόνειος,114,1.25,38.67
Κυρηναῖος,103,1.13,39.79
Πτολεμαικός,102,1.11,40.91
Ἰουδαῖος,102,1.11,42.02
Φιλαδέλφιος,101,1.1,43.13
Θεαδέλφιος,100,1.09,44.22
Δακικός,86,0.94,45.16
Ἡράκλειος,84,0.92,46.08
Ἑλληνικός,82,0.9,46.97
Ὀξυρυγχείτης,82,0.9,47.87
Περσικός,81,0.89,48.75
Θεός,78,0.85,49.61
Ἀπολλώνιος,78,0.85,50.46
Ἐπιφανής,71,0.78,51.23
Θηβαῖος,71,0.78,52.01
Ἀρσινοείτης,68,0.74,52.75
Αἰγυπτία,68,0.74,53.5
Βακχιάς,67,0.73,54.23
Θεαδελφύς,64,0.7,54.93
Συριακός,59,0.64,55.57
Βρεταννικός,57,0.62,56.2
Βακχίας,53,0.58,56.78
Βερνικίς,49,0.54,57.31
Ἰταλικός,49,0.54,57.85
Γαλλιηνός,47,0.51,58.36
Αὔγουστος,44,0.48,58.84
Θεαδελφεῖος,41,0.45,59.29
Γερμανικός,40,0.44,59.73
Σωσικόσμιος,38,0.42,60.14
Ἀδελφός,38,0.42,60.56
Δεκέμβριος,34,0.37,60.93
Σεπτέμβριος,33,0.36,61.29
Τραιανός,32,0.35,61.64
Γερμανίκειος,30,0.33,61.97
Θεσσαλός,30,0.33,62.3
Μενδήσιος,30,0.33,62.62
Εὐημέριος,29,0.32,62.94
Ἀπιάς,28,0.31,63.25
Παρεμβολός,27,0.3,63.54
Θαράπειος,27,0.3,63.84
Καράνιος,25,0.27,64.11
Ἑρμουθιακός,24,0.26,64.37
Ἀδιαβηνικός,24,0.26,64.63
Διονύσιος,24,0.26,64.9
Κίλιξ,23,0.25,65.15
Θηβαικός,22,0.24,65.39
Γερμανικιανός,21,0.23,65.62
Ὀκτώβριος,21,0.23,65.85
Ἑρμαῖος,21,0.23,66.08
Βρεττανικός,20,0.22,66.3
Λύκιος,20,0.22,66.51
Ἁδριανός,20,0.22,66.73
Εὐημέρειος,20,0.22,66.95
Μωθιτός,20,0.22,67.17
Μαικηνατιανός,19,0.21,67.38
Φυλακιτικός,19,0.21,67.58
Μάιος,19,0.21,67.79
Καμηλιανός,18,0.2,67.99
Καύνιος,18,0.2,68.19
Καρανίς,17,0.19,68.37
Μιρός,17,0.19,68.56
Κεράμειος,17,0.19,68.74
Ἀττικός,17,0.19,68.93
Πύπιος,16,0.17,69.1
Σενεκιανός,15,0.16,69.27
Ἀλθαιεύς,15,0.16,69.43
Κρητικός,15,0.16,69.6
Σωσικοσμεῖος,15,0.16,69.76
Ποιμενικός,15,0.16,69.92
Ἀφροδίσιος,15,0.16,70.09
Εὐρωπαῖος,15,0.16,70.25
Ἄρειος,14,0.15,70.4
Χηνοβοσκός,14,0.15,70.56
Μακεδών,14,0.15,70.71
Μιλήσιος,14,0.15,70.86
Λευκόγιος,14,0.15,71.02
Ἅγιος,14,0.15,71.17
Ἀπριανός,13,0.14,71.31
Ἑλλήνιος,13,0.14,71.45
Μάρτιος,13,0.14,71.6
Ἁδριάνειος,13,0.14,71.74
Διονυσοδωριανός,13,0.14,71.88
Ἀράβιος,13,0.14,72.02
Ἐλπιδιανός,13,0.14,72.16
Ἄπιος,13,0.14,72.31
Ἀραβικός,12,0.13,72.44
Ξανθικός,12,0.13,72.57
Λινύφειος,12,0.13,72.7
Θεογονίς,12,0.13,72.83
Σεουηριανός,12,0.13,72.96
Λουριανός,11,0.12,73.08
Κερηνίς,11,0.12,73.2
Φλάυιος,11,0.12,73.32
Αὐγουσταμνικός,11,0.12,73.44
Τεβτύς,11,0.12,73.56
Αὐγουστάλιος,11,0.12,73.68
Ἀνθιανός,10,0.11,73.79
Ἀμμώνιος,10,0.11,73.9
Αἰγυπτιακός,10,0.11,74.01
Θις,10,0.11,74.12
Νεοκόσμιος,10,0.11,74.23
Τύριος,10,0.11,74.34
Φιλωτερίς,10,0.11,74.45
Ἀσπένδιος,10,0.11,74.56
Φιλάγρις,10,0.11,74.67
Κερκός,10,0.11,74.78
Ὀξυρυγχιτικός,10,0.11,74.89
Ῥόδιος,10,0.11,74.99
Ἐφείπ,10,0.11,75.1
Μυσορμιτικός,10,0.11,75.21
Πατρός,9,0.1,75.31
Νερώνειος,9,0.1,75.41
Ἀρσινοιτικός,9,0.1,75.51
Κροκοδίλος,9,0.1,75.61
Ὀλύμπιος,9,0.1,75.7
Συρακούσιος,9,0.1,75.8
Μεσωρός,9,0.1,75.9
Ἀμμωνιακός,9,0.1,76.0
Μεμνόνιος,9,0.1,76.1
Ἰτουραῖος,9,0.1,76.2
Φ́ρε,9,0.1,76.3
Μαικηναιτιανός,8,0.09,76.38
Ἰουδαικός,8,0.09,76.47
Κῷος,8,0.09,76.56
Βοιώτιος,8,0.09,76.64
Τραϊανός,8,0.09,76.73
Μάγνης,8,0.09,76.82
Θεοξενίς,8,0.09,76.91
Ἀπρίλιος,8,0.09,76.99
Ἀργιάς,8,0.09,77.08
Ὀσειραντινόειος,8,0.09,77.17
Ζήνειος,8,0.09,77.26
Ἀχαιός,8,0.09,77.34
Καλανδός,8,0.09,77.43
Σαράπειος,8,0.09,77.52
Ἀργεῖος,8,0.09,77.61
Θεσμοφόρειος,8,0.09,77.69
Δορυφοριανός,8,0.09,77.78
Νοέμβριος,8,0.09,77.87
Δυωνύσιος,8,0.09,77.96
Ὀβοδιανός,8,0.09,78.04
Πατσώντιος,7,0.08,78.12
Μούσειος,7,0.08,78.2
Ἕλλην,7,0.08,78.27
Μακεδονικός,7,0.08,78.35
Ἐπείπ,7,0.08,78.43
Ἱβίτης,7,0.08,78.5
Χαλκιδεύς,7,0.08,78.58
Ὑψηλός,7,0.08,78.66
Κυρηναικός,7,0.08,78.73
Σύριος,7,0.08,78.81
Χῖος,7,0.08,78.89
Μελιτιανός,7,0.08,78.96
Καρπικός,7,0.08,79.04
Γαζαῖος,7,0.08,79.11
Σοκνεβτύνιος,7,0.08,79.19
Μεμνώνιος,7,0.08,79.27
Πολυδεύκιος,7,0.08,79.34
Ἡρῷος,7,0.08,79.42
Σαλουτάριος,7,0.08,79.5
Βουκόλιος,7,0.08,79.57
Κοτυλέειος,7,0.08,79.65
Γυναικός,6,0.07,79.72
Ἑλλήνειος,6,0.07,79.78
Ματίδειος,6,0.07,79.85
Ὀξυρυγχειτικός,6,0.07,79.91
Βερενικίς,6,0.07,79.98
Φεβρουάριος,6,0.07,80.04
Ὀασιτικός,6,0.07,80.11
Καλλιτέκνιος,6,0.07,80.17
Φιλοδαμιανός,6,0.07,80.24
Κολοφώνιος,6,0.07,80.31
Αὐγουσταλιανός,6,0.07,80.37
Ἀντινοίς,6,0.07,80.44
Μικρός,6,0.07,80.5
Ἰσιεῖος,6,0.07,80.57
Σικελικός,6,0.07,80.63
Ταρσικός,6,0.07,80.7
Ἀσιανός,6,0.07,80.77
Σιγκερός,5,0.05,80.82
Σεκνεπτύνιος,5,0.05,80.87
Ἀντωνινιανός,5,0.05,80.93
Ἡρακλιανός,5,0.05,80.98
Βουτάφιος,5,0.05,81.04
Φανήσιος,5,0.05,81.09
Καλλιτεκνείος,5,0.05,81.15
Μαραθώνιος,5,0.05,81.2
Σωτήρειος,5,0.05,81.26
Ἁδριάνιος,5,0.05,81.31
Χαριστήριος,5,0.05,81.37
Λακεδαιμόνιος,5,0.05,81.42
Σεκνεπτύνειος,5,0.05,81.48
Ἑρμοπόλετος,5,0.05,81.53
Λιβός,5,0.05,81.58
Ἐφίπ,5,0.05,81.64
Βρετανικός,5,0.05,81.69
Βουβαστεῖος,5,0.05,81.75
Μητρῷος,5,0.05,81.8
Κνίδιος,5,0.05,81.86
Κύθνιος,5,0.05,81.91
Σάμιος,5,0.05,81.97
Ἀλεξάνδριος,5,0.05,82.02
Λευκάδιος,5,0.05,82.08
Καπιτωλιακός,5,0.05,82.13
Τιτούληιος,5,0.05,82.19
Ἀσκληπίειος,5,0.05,82.24
Πατσῶντις,4,0.04,82.28
Σεσιύς,4,0.04,82.33
Ἐπίπ,4,0.04,82.37
Ἀνδρομαχίς,4,0.04,82.42
Κουιντίλιος,4,0.04,82.46
Σωσικόσμειος,4,0.04,82.5
Σοκονόπαιος,4,0.04,82.55
Νουμίδης,4,0.04,82.59
Τεβέτνος,4,0.04,82.63
Σικυώνιος,4,0.04,82.68
Ξοιτικός,4,0.04,82.72
Ἀντινοιτικός,4,0.04,82.77
Μαμαῖος,4,0.04,82.81
Ζήνειυς,4,0.04,82.85
Καράνεις,4,0.04,82.9
Ἡρακλειανός,4,0.04,82.94
Εἴσιος,4,0.04,82.98
Λιβυκός,4,0.04,83.03
Ἀνταιοπολιτικός,4,0.04,83.07
Θμουείτης,4,0.04,83.11
Εὐεργετίς,4,0.04,83.16
Ὀξυρυνχείτης,4,0.04,83.2
Ἀλεξάνδρειος,4,0.04,83.25
Τακών,4,0.04,83.29
Θρᾷξ,4,0.04,83.33
Λαρισαῖος,4,0.04,83.38
Ἀρσινοειτικός,4,0.04,83.42
Κερκεσοῦχος,4,0.04,83.46
Ποιμένειος,4,0.04,83.51
Ποσειδώνιος,4,0.04,83.55
Φεβράριος,4,0.04,83.6
Θεαδελφή,4,0.04,83.64
Ἄραψ,4,0.04,83.68
Μενένιος,4,0.04,83.73
Ἡρακλεώτης,4,0.04,83.77
Πρερός,4,0.04,83.81
Ἁρμονιεύς,4,0.04,83.86
Ῥηναίος,4,0.04,83.9
Χομηνιακός,4,0.04,83.95
Μεσσαλινιανός,4,0.04,83.99
Τεπτύς,4,0.04,84.03
Ἀρμενικός,4,0.04,84.08
Θαράπιος,4,0.04,84.12
Ἑπτός,4,0.04,84.16
Ἀντινοειτικός,4,0.04,84.21
Παγγουλέειος,4,0.04,84.25
Θοήρης,4,0.04,84.3
Καστόρειος,4,0.04,84.34
Δουσάριος,4,0.04,84.38
Τρίτος,4,0.04,84.43
Τέρτος,3,0.03,84.46
Σινκερός,3,0.03,84.49
Σιναλαβός,3,0.03,84.52
Ἐκκλήσιος,3,0.03,84.56
Εἰρηνοφυλάκειος,3,0.03,84.59
Ἰανουάριος,3,0.03,84.62
Νουμεριανός,3,0.03,84.66
Ὀλύνθιος,3,0.03,84.69
Ἄραβος,3,0.03,84.72
Κορίνθιος,3,0.03,84.75
Σελεύκειος,3,0.03,84.79
Δαμασκηνός,3,0.03,84.82
Προπαπποσεβάστειος,3,0.03,84.85
Βουκόντιος,3,0.03,84.89
Ἑπτανόμιος,3,0.03,84.92
Θεοξένιος,3,0.03,84.95
Φιλωτέριος,3,0.03,84.98
Ἀλεξανδριανός,3,0.03,85.02
Γαόυιος,3,0.03,85.05
Ἰδουμαῖος,3,0.03,85.08
Ἐφέσιος,3,0.03,85.11
Παλλαντιανός,3,0.03,85.15
Σεουριανός,3,0.03,85.18
Ψίνιος,3,0.03,85.21
Σέπτος,3,0.03,85.25
Ἀνταιουπολίτης,3,0.03,85.28
Μαρκιάνιος,3,0.03,85.31
Μυριναῖος,3,0.03,85.34
Μαρεωτικός,3,0.03,85.38
Ἀργεάς,3,0.03,85.41
Λέσβιος,3,0.03,85.44
Ἰσῖος,3,0.03,85.48
Παραποτάμιος,3,0.03,85.51
