Word,Count,Percentage of total,Cumulative percentage of total
ὁ,78267,13.65,13.65
καί,30900,5.39,19.04
δέ,20598,3.59,22.63
οὗτος,9750,1.7,24.33
αὐτός,9468,1.65,25.98
εἰμί,9145,1.59,27.58
μέν,7938,1.38,28.96
οὐ,6969,1.22,30.17
τε,5718,1.0,31.17
ὅς,5604,0.98,32.15
εἰς,5334,0.93,33.08
ἐν,4879,0.85,33.93
ἐγώ,4833,0.84,34.77
τις,4808,0.84,35.61
γάρ,4626,0.81,36.42
πρός,3789,0.66,37.08
ἐπί,3733,0.65,37.73
ὡς,3644,0.64,38.37
γίγνομαι,3357,0.59,38.95
κατά,3153,0.55,39.5
ἐκ,3109,0.54,40.04
περί,3066,0.53,40.58
σύ,3011,0.53,41.1
ἔχω,2856,0.5,41.6
ἀλλά,2843,0.5,42.1
πᾶς,2778,0.48,42.58
μή,2758,0.48,43.06
πολύς,2746,0.48,43.54
ποιέω,2457,0.43,43.97
ἄλλος,2370,0.41,44.38
πόλις,2327,0.41,44.79
διά,2242,0.39,45.18
εἰ,2185,0.38,45.56
φημί,2041,0.36,45.92
ἄν1,1892,0.33,46.25
ἑαυτοῦ,1854,0.32,46.57
παρά,1852,0.32,46.89
λέγω3,1830,0.32,47.21
ὑπό,1796,0.31,47.52
μετά,1742,0.3,47.83
ἤ1,1669,0.29,48.12
ἀνήρ,1660,0.29,48.41
οὖν,1584,0.28,48.69
οὐδείς,1579,0.28,48.96
ἐκεῖνος,1328,0.23,49.19
ὅτι2,1313,0.23,49.42
δή,1305,0.23,49.65
μέγας,1302,0.23,49.88
ἀπό,1227,0.21,50.09
οὕτως,1222,0.21,50.3
ὦ,1212,0.21,50.51
δοκέω,1199,0.21,50.72
λαμβάνω,1177,0.21,50.93
γε,1076,0.19,51.12
ἐάν,1040,0.18,51.3
νῦν,1024,0.18,51.48
εἶπον,1009,0.18,51.65
ἐπεί,971,0.17,51.82
βούλομαι,969,0.17,51.99
λόγος,959,0.17,52.16
ἔτι,923,0.16,52.32
τοιοῦτος,918,0.16,52.48
πρῶτος,915,0.16,52.64
ἄνθρωπος,913,0.16,52.8
ὥστε,877,0.15,52.95
δίδωμι,868,0.15,53.1
ὅσος,851,0.15,53.25
ἅπας,840,0.15,53.4
βασιλεύς,838,0.15,53.54
νόμος,825,0.14,53.69
δεῖ,801,0.14,53.83
θεός,787,0.14,53.96
καλός,774,0.13,54.1
χρόνος,773,0.13,54.23
ἕκαστος,770,0.13,54.37
παῖς,767,0.13,54.5
οἶδα,763,0.13,54.63
ἀρχή,760,0.13,54.77
πόλεμος,748,0.13,54.9
πράσσω,740,0.13,55.03
ἄρχω,739,0.13,55.16
Ῥωμαῖος,729,0.13,55.28
ἕτερος,725,0.13,55.41
ὅδε,716,0.12,55.53
Ἀθηναῖος,703,0.12,55.66
