Word,Count,Percentage of total,Cumulative percentage of total
ὁ,6225,11.42,11.42
καί,2875,5.27,16.69
ἐγώ,1507,2.76,19.46
σύ,1409,2.58,22.04
αὐτός,1097,2.01,24.05
δέ,867,1.59,25.64
ἐν,715,1.31,26.95
ἔτος,636,1.17,28.12
ὅς,539,0.99,29.11
εἰμί,527,0.97,30.08
παρά,521,0.96,31.03
εἰς,445,0.82,31.85
χαίρω,425,0.78,32.63
μή,387,0.71,33.34
γράφω,381,0.7,34.04
ῥώννυμι,381,0.7,34.73
περί,380,0.7,35.43
πρός,358,0.66,36.09
ποιέω,357,0.65,36.74
οὗτος,345,0.63,37.38
πᾶς,339,0.62,38.0
οὐ,315,0.58,38.58
διά,311,0.57,39.15
ἐπί,305,0.56,39.71
ἔχω,296,0.54,40.25
οὖν,281,0.52,40.76
ἵνα,280,0.51,41.28
ἐάν,266,0.49,41.77
δίδωμι,255,0.47,42.23
κατά,251,0.46,42.69
ἐκ,250,0.46,43.15
ἀπό,245,0.45,43.6
ἀδελφός,242,0.44,44.05
ὡς,236,0.43,44.48
ὅτι2,222,0.41,44.89
τις,217,0.4,45.28
πέμπω,215,0.39,45.68
γάρ,213,0.39,46.07
γίγνομαι,204,0.37,46.44
ἄν1,198,0.36,46.81
Ζήνων,197,0.36,47.17
ἀποδίδωμι,194,0.36,47.52
εἰ,189,0.35,47.87
λαμβάνω,187,0.34,48.21
Ἀπολλώνιος,180,0.33,48.54
πολύς,166,0.3,48.85
ἄλλος,158,0.29,49.14
ὑγιαίνω,157,0.29,49.42
ἀσπάζομαι,155,0.28,49.71
καλός,153,0.28,49.99
δραχμή,146,0.27,50.26
μέν,144,0.26,50.52
ἀποστέλλω,137,0.25,50.77
μετά,135,0.25,51.02
ἀλλά,123,0.23,51.25
τε,122,0.22,51.47
ὅπως,121,0.22,51.69
μέγας,120,0.22,51.91
ὑπό,120,0.22,52.13
θεός,119,0.22,52.35
κομίζω,114,0.21,52.56
Πτολεμαῖος,109,0.2,52.76
ἐπιστολή,109,0.2,52.96
εἷς,106,0.19,53.15
ἐπεί,106,0.19,53.35
κύριος,105,0.19,53.54
ὑπέρ,102,0.19,53.73
α,102,0.19,53.92
μείς,102,0.19,54.1
εὔχομαι,102,0.19,54.29
ἕως,100,0.18,54.47
ἀρτάβη,98,0.18,54.65
β,96,0.18,54.83
ἀξιόω,91,0.17,55.0
ἡμέρα,90,0.17,55.16
δύο,89,0.16,55.32
πατήρ,88,0.16,55.49
βασιλεύς,84,0.15,55.64
δίδυμος,84,0.15,55.79
ἀργύριον,84,0.15,55.95
μήτηρ,83,0.15,56.1
υἱός,83,0.15,56.25
ἐθέλω,83,0.15,56.4
δύναμαι,82,0.15,56.55
Καῖσαρ,82,0.15,56.71
ἔλαιον,80,0.15,56.85
λ,79,0.14,57.0
οὐδείς,78,0.14,57.14
μετρητής,78,0.14,57.28
ιθ,77,0.14,57.42
ἱερόν,77,0.14,57.57
πρό,76,0.14,57.7
ἔρχομαι,75,0.14,57.84
οἶδα,75,0.14,57.98
μηδείς,74,0.14,58.12
κ,73,0.13,58.25
νῦν,73,0.13,58.38
Σαραπιεῖον,72,0.13,58.52
ἤ1,72,0.13,58.65
παραγίγνομαι,72,0.13,58.78
πόλις,72,0.13,58.91
χρόνος,71,0.13,59.04
γ,71,0.13,59.17
ὑπάρχω,71,0.13,59.3
ἀδελφή,69,0.13,59.43
λοιπός,69,0.13,59.56
φίλος,68,0.12,59.68
Σαραπίων,68,0.12,59.8
γιγνώσκω,67,0.12,59.93
ἐπιμελέομαι,66,0.12,60.05
συντάσσω,65,0.12,60.17
εὐτυχέω,63,0.12,60.28
εὑρίσκω,63,0.12,60.4
βούλομαι,63,0.12,60.51
κθ,63,0.12,60.63
καθήκω,62,0.11,60.74
ιη,62,0.11,60.86
λόγος,60,0.11,60.97
προγράφω,59,0.11,61.08
οἰκία,59,0.11,61.18
Ἀθηνόδωρος,58,0.11,61.29
χαλκός,57,0.1,61.4
σός,57,0.1,61.5
τιμή,56,0.1,61.6
γυνή,55,0.1,61.7
δ,54,0.1,61.8
τόπος,54,0.1,61.9
φαίνω,53,0.1,62.0
ὥστε,53,0.1,62.1
γραμματεύς,52,0.1,62.19
ἑαυτοῦ,52,0.1,62.29
τέκνον,51,0.09,62.38
τρεῖς,51,0.09,62.47
Μεσορη,49,0.09,62.56
κώμη,49,0.09,62.65
σαυτοῦ,49,0.09,62.74
τυγχάνω,48,0.09,62.83
λέγω3,48,0.09,62.92
Μεμφις,47,0.09,63.01
τάλαντον,47,0.09,63.09
κατοχή,46,0.08,63.18
χάρις,46,0.08,63.26
ἔτι,46,0.08,63.34
κη,46,0.08,63.43
πυρός,45,0.08,63.51
φέρω,45,0.08,63.59
κίκι,45,0.08,63.68
χρηματίζω,44,0.08,63.76
σύν,44,0.08,63.84
ὄλυρα,43,0.08,63.92
κδ,42,0.08,63.99
ἀναφέρω,42,0.08,64.07
Παχων,42,0.08,64.15
ι,42,0.08,64.23
ὁμολογέω,42,0.08,64.3
πράσσω,42,0.08,64.38
Σεβαστός,42,0.08,64.46
πρότερος,41,0.08,64.53
Διονύσιος,41,0.08,64.61
ἄν,41,0.08,64.68
ἀγοράζω,41,0.08,64.76
πλοῖον,41,0.08,64.83
στρατηγός,40,0.07,64.91
διό,40,0.07,64.98
ε,40,0.07,65.05
Ἡρακλείδης,40,0.07,65.13
μέχρι,39,0.07,65.2
Φαωφι,39,0.07,65.27
ἐρωτάω,39,0.07,65.34
Θωθ,38,0.07,65.41
ἔντευξις,38,0.07,65.48
η,38,0.07,65.55
Παυνι,38,0.07,65.62
ὀφείλω,38,0.07,65.69
Χοιακ,37,0.07,65.76
ἐπισκέπτομαι,37,0.07,65.82
ἕκαστος,37,0.07,65.89
γράμμα,37,0.07,65.96
σησάμινος,37,0.07,66.03
Κλαύδιος,37,0.07,66.1
μέρος,36,0.07,66.16
παρακαλέω,36,0.07,66.23
Φαμενωθ,35,0.06,66.29
οὐδέ,35,0.06,66.36
