Word,Count,Percentage of total,Cumulative percentage of total
ὁ,19019,14.37,14.37
καί,8830,6.67,21.04
αὐτός,5380,4.06,25.11
σύ,2773,2.1,27.2
δέ,2709,2.05,29.25
ἐν,2563,1.94,31.18
ἐγώ,2554,1.93,33.11
λέγω,2331,1.76,34.88
εἰμί,2330,1.76,36.64
εἰς,1713,1.29,37.93
οὐ,1601,1.21,39.14
ὅς,1299,0.98,40.12
οὗτος,1289,0.97,41.1
θεός,1207,0.91,42.01
ὅτι,1201,0.91,42.91
πᾶς,1163,0.88,43.79
γάρ,998,0.75,44.55
μή,981,0.74,45.29
ἐπί,878,0.66,45.95
ἐκ,870,0.66,46.61
Ἰησοῦς,868,0.66,47.26
κύριος,689,0.52,47.79
πρός,679,0.51,48.3
ἔχω,659,0.5,48.8
γίγνομαι,655,0.49,49.29
διά,626,0.47,49.76
ἵνα,625,0.47,50.24
ἔρχομαι,615,0.46,50.7
ἀπό,607,0.46,51.16
ἀλλά,597,0.45,51.61
τίς,548,0.41,52.02
ἄνθρωπος,541,0.41,52.43
ποιέω,540,0.41,52.84
τις,503,0.38,53.22
Χριστός,491,0.37,53.59
οὖν,481,0.36,53.96
εἰ,478,0.36,54.32
ὁράω,472,0.36,54.67
ὡς,470,0.36,55.03
μετά,455,0.34,55.37
κατά,455,0.34,55.72
ἀκούω,410,0.31,56.03
πολύς,407,0.31,56.33
δίδωμι,405,0.31,56.64
πατήρ,391,0.3,56.94
ἡμέρα,372,0.28,57.22
πνεῦμα,360,0.27,57.49
υἱός,350,0.26,57.75
ἤ,339,0.26,58.01
εἷς,335,0.25,58.26
ἀδελφός,319,0.24,58.5
λόγος,313,0.24,58.74
περί,312,0.24,58.98
ἑαυτοῦ,301,0.23,59.2
οἶδα,295,0.22,59.43
λαλέω,288,0.22,59.64
οὐρανός,268,0.2,59.85
ἐάν,268,0.2,60.05
μαθητής,261,0.2,60.25
ἐκεῖνος,255,0.19,60.44
λαμβάνω,249,0.19,60.63
γῆ,244,0.18,60.81
μέγας,237,0.18,60.99
πίστις,235,0.18,61.17
ἀποκρίνω,233,0.18,61.34
πιστεύω,231,0.17,61.52
οὐδείς,231,0.17,61.69
ὄνομα,222,0.17,61.86
ἅγιος,220,0.17,62.03
ἐξέρχομαι,218,0.16,62.19
ἄν,217,0.16,62.35
γυνή,214,0.16,62.52
ἀνήρ,214,0.16,62.68
τε,213,0.16,62.84
ὑπό,210,0.16,63.0
δύναμαι,206,0.16,63.15
ἐθέλω,203,0.15,63.31
οὕτως,203,0.15,63.46
εἰσέρχομαι,199,0.15,63.61
ἰδού,198,0.15,63.76
νόμος,195,0.15,63.91
Ἰουδαῖος,193,0.15,64.05
