Word,Count,Percentage of total,Cumulative percentage of total
ὁ,95329,9.53,9.53
καί,44202,4.42,13.95
ἔτος,21580,2.16,16.11
αὐτός,14137,1.41,17.52
δραχμή,13059,1.31,18.83
_,12618,1.26,20.09
ἐγώ,11821,1.18,21.27
γίγνομαι,10671,1.07,22.34
σύ,9568,0.96,23.3
ἀρτάβη,8003,0.8,24.1
παρά,7963,0.8,24.9
πυρός,7879,0.79,25.68
ὑπέρ,7677,0.77,26.45
ἐν,7602,0.76,27.21
διά,7553,0.76,27.97
ἀπό,7453,0.75,28.71
κύριος,7269,0.73,29.44
εἰς,6803,0.68,30.12
δέ,6794,0.68,30.8
ὅς,6638,0.66,31.46
ἐπί,6216,0.62,32.08
α#,5991,0.6,32.68
Καῖσαρ,5545,0.55,33.24
δ#,5471,0.55,33.78
εἰμί,5319,0.53,34.32
β#,5309,0.53,34.85
ἐκ,4651,0.47,35.31
ONE_HALF,4453,0.45,35.76
οὗτος,4210,0.42,36.18
κατά,4109,0.41,36.59
ἔχω,4095,0.41,37.0
Αὐρήλιος,4076,0.41,37.41
ὡς,3984,0.4,37.8
χαίρω,3803,0.38,38.19
πᾶς,3690,0.37,38.55
γ#,3508,0.35,38.9
πρός,3448,0.34,39.25
περί,3406,0.34,39.59
μή,3319,0.33,39.92
ἄρουρα,3318,0.33,40.25
κώμη,3308,0.33,40.58
σημειόω,3213,0.32,40.91
γράφω,3120,0.31,41.22
Σεβαστός,3067,0.31,41.52
μείς,3017,0.3,41.83
ε#,3000,0.3,42.13
η#,2994,0.3,42.43
ἄλλος,2876,0.29,42.71
ὄνομα,2819,0.28,43.0
μήτηρ,2611,0.26,43.26
πρόκειμαι,2582,0.26,43.51
ϛ#,2545,0.25,43.77
δύο,2493,0.25,44.02
εἷς,2436,0.24,44.26
Ἀντωνῖνος,2311,0.23,44.49
ἐάν,2303,0.23,44.72
πόλις,2283,0.23,44.95
μετά,2271,0.23,45.18
ὀβολός,2203,0.22,45.4
ποιέω,2146,0.21,45.61
γένημα,2097,0.21,45.82
δίδωμι,2080,0.21,46.03
ὁμολογέω,2064,0.21,46.24
Πτολεμαῖος,2051,0.21,46.44
Ἁδριανός,2041,0.2,46.65
ἀργύριον,2031,0.2,46.85
ὑπό,1975,0.2,47.05
ἥμισυς,1961,0.2,47.24
θησαυρός,1952,0.2,47.44
ἀδελφός,1952,0.2,47.63
διαγράφω,1940,0.19,47.83
ὅμοιος,1940,0.19,48.02
υἱός,1908,0.19,48.21
ζ#,1896,0.19,48.4
ιβ#,1893,0.19,48.59
δ´,1890,0.19,48.78
Αὐτοκράτωρ,1889,0.19,48.97
ι#,1873,0.19,49.16
Μεσορή,1863,0.19,49.34
ἤ,1763,0.18,49.52
θεός,1688,0.17,49.69
Παῦνι,1680,0.17,49.86
λόγος,1661,0.17,50.02
δημόσιος,1659,0.17,50.19
Ἀπολλώνιος,1633,0.16,50.35
οὐ,1628,0.16,50.51
ἰνδικτιών,1583,0.16,50.67
μέρος,1565,0.16,50.83
Ἡρακλείδης,1554,0.16,50.98
τέσσαρες,1550,0.15,51.14
κ#,1524,0.15,51.29
Ἐπειφ,1519,0.15,51.44
τε,1500,0.15,51.59
ια#,1496,0.15,51.74
ιϛ#,1452,0.15,51.89
ῥώννυμι,1450,0.14,52.03
ἀποδίδωμι,1446,0.14,52.18
θ#,1419,0.14,52.32
ιε#,1409,0.14,52.46
τις,1399,0.14,52.6
ὑπάρχω,1397,0.14,52.74
τιμή,1397,0.14,52.88
Ὧρος,1394,0.14,53.02
ιδ#,1362,0.14,53.16
ἵνα,1321,0.13,53.29
ιγ#,1319,0.13,53.42
λ#,1314,0.13,53.55
γ´#,1312,0.13,53.68
κριθή,1312,0.13,53.81
η´#,1309,0.13,53.94
μέν,1304,0.13,54.08
οὖν,1285,0.13,54.2
Φαρμουθί,1248,0.12,54.33
μέγας,1242,0.12,54.45
χρόνος,1232,0.12,54.58
Ἀθύρ,1215,0.12,54.7
Παχών,1209,0.12,54.82
Φαωφί,1194,0.12,54.94
ιη#,1182,0.12,55.06
βασιλικός,1169,0.12,55.17
ιζ#,1169,0.12,55.29
τρεῖς,1164,0.12,55.41
ἄν,1160,0.12,55.52
Μεχείρ,1137,0.11,55.64
σύν,1125,0.11,55.75
γάρ,1123,0.11,55.86
πράκτωρ,1120,0.11,55.97
μέτοχος,1120,0.11,56.08
μητρόπολις,1107,0.11,56.2
Μάρκος,1106,0.11,56.31
λέγω,1076,0.11,56.41
Τῦβι,1070,0.11,56.52
μετρέω,1070,0.11,56.63
οἰκία,1068,0.11,56.73
τάλαντον,1068,0.11,56.84
Φαμενώθ,1067,0.11,56.95
οἶνος,1061,0.11,57.05
εἰ,1058,0.11,57.16
ἀπέχω,1056,0.11,57.27
ῥυπαρός,1056,0.11,57.37
στρατηγός,1038,0.1,57.47
μερίς,1032,0.1,57.58
μηδείς,1026,0.1,57.68
Τραιανός,1024,0.1,57.78
γράμμα,1023,0.1,57.89
νομός,1017,0.1,57.99
δέκα,1014,0.1,58.09
λαογραφία,1014,0.1,58.19
ἐνίστημι,1013,0.1,58.29
τόπος,1007,0.1,58.39
τρίτος,1003,0.1,58.49
πολύς,1002,0.1,58.59
ὅτι,999,0.1,58.69
Σαραπίων,995,0.1,58.79
πέμπω,983,0.1,58.89
κδ´#,978,0.1,58.99
ιθ#,974,0.1,59.09
ιβ´#,967,0.1,59.18
τέταρτος,963,0.1,59.28
χάλκεος,959,0.1,59.37
