Word,Count,Percentage of total,Cumulative percentage of total
πᾶς,2778,7.09,7.09
πολύς,2744,7.01,14.1
μέγας,1294,3.3,17.4
ἅπας,840,2.14,19.54
μόνος,692,1.77,21.31
πρότερος,633,1.62,22.93
ἀγαθός,580,1.48,24.41
καλός,554,1.41,25.82
πλείων,484,1.24,27.06
δίκαιος,466,1.19,28.25
ἴδιος,460,1.17,29.42
ὀλίγος,383,0.98,30.4
πλεῖστος,372,0.95,31.35
λοιπός,357,0.91,32.26
κοινός,348,0.89,33.15
κακός,340,0.87,34.02
ἀληθής,338,0.86,34.88
ὅλος,333,0.85,35.73
δεινός,277,0.71,36.44
ὕστερος,264,0.67,37.11
ἄξιος,264,0.67,37.78
ἐναντίος,250,0.64,38.42
Ἀθηναῖος,246,0.63,39.05
οἰκεῖος,242,0.62,39.67
μικρός,237,0.61,40.27
νέος,215,0.55,40.82
πεζός,211,0.54,41.36
ταχύς,211,0.54,41.9
δῆλος,197,0.5,42.4
δυνατός,193,0.49,42.9
ἱκανός,192,0.49,43.39
αἴτιος,187,0.48,43.86
ἴσος,185,0.47,44.34
ἄριστος,168,0.43,44.76
φανερός,168,0.43,45.19
ἥσσων,156,0.4,45.59
ἐπιτήδειος,151,0.39,45.98
πολέμιος,151,0.39,46.36
ἀναγκαῖος,151,0.39,46.75
ἐλάσσων,149,0.38,47.13
ἐλεύθερος,144,0.37,47.5
μέσος,143,0.37,47.86
βελτίων,141,0.36,48.22
βραχύς,138,0.35,48.57
ἡδύς,133,0.34,48.91
πρέσβυς,129,0.33,49.24
χαλεπός,127,0.32,49.57
αἰσχρός,125,0.32,49.89
παλαιός,117,0.3,50.18
ἰσχυρός,115,0.29,50.48
ναυτικός,115,0.29,50.77
ἀρχαῖος,115,0.29,51.06
κύριος,114,0.29,51.36
φίλος,111,0.28,51.64
τελευταῖος,110,0.28,51.92
μυρίος,108,0.28,52.2
μακρός,107,0.27,52.47
πλούσιος,106,0.27,52.74
ὅμοιος,106,0.27,53.01
ἑτοῖμος,106,0.27,53.28
χρύσεος,105,0.27,53.55
παραπλήσιος,105,0.27,53.82
ἔνιοι,104,0.27,54.08
ὅσιος,104,0.27,54.35
πονηρός,102,0.26,54.61
χρήσιμος,98,0.25,54.86
σοφός,98,0.25,55.11
Ἑλληνικός,97,0.25,55.36
αἰχμάλωτος,95,0.24,55.6
ὑπεναντίος,94,0.24,55.84
πλέος,93,0.24,56.08
δημόσιος,93,0.24,56.31
πολιτικός,93,0.24,56.55
ἀδύνατος,92,0.23,56.79
ῥᾴδιος,91,0.23,57.02
χρηστός,88,0.22,57.24
ἄδικος,85,0.22,57.46
ἐπιφανής,84,0.21,57.67
κράτιστος,83,0.21,57.89
ἐχθρός,80,0.2,58.09
ἱερός,80,0.2,58.29
ἥκιστος,80,0.2,58.5
πολεμικός,80,0.2,58.7
ψευδής,78,0.2,58.9
ἑκών,77,0.2,59.1
κρείσσων,74,0.19,59.29
σύμπας,74,0.19,59.48
πάτριος,73,0.19,59.66
τηλικοῦτος,72,0.18,59.85
ἐρῆμος,70,0.18,60.03
πατρῷος,69,0.18,60.2
ἀμείνων,68,0.17,60.37
λαμπρός,67,0.17,60.55
ἀλλότριος,67,0.17,60.72
συγγενής,66,0.17,60.89
δεξιός,65,0.17,61.05
ἀσφαλής,64,0.16,61.21
βέλτιστος,63,0.16,61.38
χείρων,63,0.16,61.54
βασιλικός,62,0.16,61.69
ὑστεραῖος,61,0.16,61.85
φαῦλος,60,0.15,62.0
σαφής,58,0.15,62.15
κατήγορος,58,0.15,62.3
μέτριος,57,0.15,62.45
ἐλάχιστος,56,0.14,62.59
φοβερός,54,0.14,62.73
συνεχής,54,0.14,62.86
σύμμαχος,53,0.14,63.0
θαυμαστός,52,0.13,63.13
ἐπιχώριος,52,0.13,63.26
ἄπιστος,52,0.13,63.4
εὔνους,51,0.13,63.53
γυμνός,51,0.13,63.66
σώφρων,51,0.13,63.79
εὐδαίμων,50,0.13,63.92
νόμιμος,50,0.13,64.04
ὕπατος,50,0.13,64.17
ὁμοῖος,48,0.12,64.29
ἔσχατος,48,0.12,64.42
ἀνόσιος,48,0.12,64.54
παράδοξος,48,0.12,64.66
βαρύς,47,0.12,64.78
θεῖος1,47,0.12,64.9
βάρβαρος,47,0.12,65.02
βέβαιος,47,0.12,65.14
ἱππικός,46,0.12,65.26
ἀσθενής,45,0.11,65.37
ἀξιόλογος,45,0.11,65.49
ἀέκων,45,0.11,65.6
ἀθρόος,44,0.11,65.72
καινός,44,0.11,65.83
διάφορος,44,0.11,65.94
ἥμισυς,43,0.11,66.05
πολυτελής,43,0.11,66.16
πρόθυμος,42,0.11,66.27
ἀνθρώπινος,42,0.11,66.37
Μηδικός,41,0.1,66.48
πεζικός,41,0.1,66.58
γνώριμος,40,0.1,66.69
Περσικός,40,0.1,66.79
ὑποχείριος,40,0.1,66.89
συχνός,38,0.1,66.99
σεμνός,38,0.1,67.08
ἐγκρατής,38,0.1,67.18
Τρωικός,38,0.1,67.28
Ἀττικός,37,0.09,67.37
Λακωνικός,37,0.09,67.47
πιστός2,37,0.09,67.56
παράνομος,36,0.09,67.65
γενναῖος,36,0.09,67.74
ὁλοσχερής,36,0.09,67.84
ἄτοπος,35,0.09,67.93
βίαιος,35,0.09,68.02
ἐνδεής,35,0.09,68.1
ἔνοχος,35,0.09,68.19
ἀφανής,34,0.09,68.28
λευκός,34,0.09,68.37
ἄδηλος,34,0.09,68.45
ὀρθός,34,0.09,68.54
στρατιωτικός,34,0.09,68.63
περισσός,33,0.08,68.71
αὐτόνομος,33,0.08,68.8
ἄπειρος1,33,0.08,68.88
ἔνδοξος,33,0.08,68.97
σμικρός,33,0.08,69.05
ἄπορος,33,0.08,69.13
ἐρωτικός,33,0.08,69.22
πλήρης,32,0.08,69.3
μεστός,32,0.08,69.38
κεφάλαιος,32,0.08,69.46
τάχιστος,31,0.08,69.54
εὐώνυμος,31,0.08,69.62
ἀκριβής,31,0.08,69.7
Ῥωμαῖος,31,0.08,69.78
καθαρός,31,0.08,69.86
ἀληθινός,31,0.08,69.94
ἀκόλουθος,30,0.08,70.01
ἐπίτροπος,30,0.08,70.09
ὑπόλοιπος,30,0.08,70.17
χρηματιστικός,30,0.08,70.24
κενός,29,0.07,70.32
βαθύς,29,0.07,70.39
πολλαπλάσιος,29,0.07,70.47
θνητός,29,0.07,70.54
καρτερός,29,0.07,70.61
αἱρετός,29,0.07,70.69
ἐπιεικής,28,0.07,70.76
δοῦλος,28,0.07,70.83
ἀντίπαλος,28,0.07,70.9
ξενικός,28,0.07,70.97
φιλότιμος,28,0.07,71.05
φιλάνθρωπος,28,0.07,71.12
συνήθης,28,0.07,71.19
ἀπόρρητος,28,0.07,71.26
τέλειος,28,0.07,71.33
λεπτός,28,0.07,71.4
Λακεδαιμόνιος,27,0.07,71.47
σπουδαῖος,27,0.07,71.54
φρόνιμος,27,0.07,71.61
ταὐτός,27,0.07,71.68
ποικίλος,27,0.07,71.75
Κορίνθιος,26,0.07,71.81
δημοτικός,26,0.07,71.88
παμπολύς,26,0.07,71.95
ὅμορος,26,0.07,72.01
ὡραῖος,26,0.07,72.08
Ἀφροδίσιος,26,0.07,72.15
γεωργός,26,0.07,72.21
δυσχερής,26,0.07,72.28
εὐφυής,26,0.07,72.35
μείων,25,0.06,72.41
ἀριστερός,25,0.06,72.47
ἄπειρος2,25,0.06,72.54
ἔμπειρος,25,0.06,72.6
παντοδαπός,25,0.06,72.66
ὠφέλιμος,25,0.06,72.73
ἄγριος,25,0.06,72.79
γνήσιος,25,0.06,72.86
θῆλυς,25,0.06,72.92
διπλάσιος,25,0.06,72.98
αὐτόματος,24,0.06,73.04
ὑψηλός,24,0.06,73.11
πιστός1,24,0.06,73.17
ἐνεργός,24,0.06,73.23
χάλκεος,24,0.06,73.29
ἄλογος,24,0.06,73.35
ξένος2,24,0.06,73.41
πλέως,24,0.06,73.47
μισθοφόρος,24,0.06,73.53
ἐπίλεκτος,24,0.06,73.6
ψιλός,23,0.06,73.65
ταπεινός,23,0.06,73.71
ἀθάνατος,23,0.06,73.77
θεοφιλής,23,0.06,73.83
ἀκέραιος,23,0.06,73.89
ἀργύρεος,22,0.06,73.95
θρασύς,22,0.06,74.0
ἀσεβής,22,0.06,74.06
μαλακός,22,0.06,74.11
διπλόος,22,0.06,74.17
περιφανής,22,0.06,74.23
λυπηρός,22,0.06,74.28
τίμιος,22,0.06,74.34
θαυμάσιος,22,0.06,74.39
ὑπεύθυνος,22,0.06,74.45
οἰκονομικός,22,0.06,74.51
ξύλινος,21,0.05,74.56
ἑκούσιος,21,0.05,74.61
καταφανής,21,0.05,74.67
ἀνδρεῖος,21,0.05,74.72
ἡλίκος,21,0.05,74.78
πορφύρεος,21,0.05,74.83
οὐδέτερος,21,0.05,74.88
πικρός,21,0.05,74.94
στενός,21,0.05,74.99
εὐτελής,21,0.05,75.04
βοηθός,21,0.05,75.1
πρᾶος,21,0.05,75.15
Βοιώτιος,21,0.05,75.2
ἥμερος,21,0.05,75.26
κρατύς,21,0.05,75.31
βαρβαρικός,20,0.05,75.36
δαιμόνιος,20,0.05,75.41
εὔπορος,20,0.05,75.46
σιδήρεος,20,0.05,75.52
ἀνόητος,20,0.05,75.57
ἀγεννής,20,0.05,75.62
πρόδηλος,20,0.05,75.67
ἐλαχύς,20,0.05,75.72
Μιλήσιος,19,0.05,75.77
ποσός,19,0.05,75.82
ἐπιμελής,19,0.05,75.87
ἐναργής,19,0.05,75.91
ἀξιόχρεως,19,0.05,75.96
ἐγχώριος,19,0.05,76.01
ἀνάστατος,19,0.05,76.06
εὔζωνος,19,0.05,76.11
ἄχρηστος,19,0.05,76.16
συνεργός,19,0.05,76.2
Ἄρειος,19,0.05,76.25
ἄφθονος,18,0.05,76.3
ἀναίτιος,18,0.05,76.35
ἐμφανής,18,0.05,76.39
ἄσμενος,18,0.05,76.44
Ἰόνιος,18,0.05,76.48
παράλιος,18,0.05,76.53
ὁμώνυμος,18,0.05,76.58
εὐπρεπής,18,0.05,76.62
συμμαχικός,18,0.05,76.67
περιχαρής,18,0.05,76.71
ἀλλόφυλος,18,0.05,76.76
σφοδρός,18,0.05,76.8
πιστός,18,0.05,76.85
αὐτόφωρος,18,0.05,76.9
σύμφορος,18,0.05,76.94
ὑπόσπονδος,17,0.04,76.99
περίοικος,17,0.04,77.03
μέλας,17,0.04,77.07
ἄποικος,17,0.04,77.12
ἄπρακτος,17,0.04,77.16
μετέωρος,17,0.04,77.2
ἀτελής,17,0.04,77.25
πυκνός,17,0.04,77.29
γυναικεῖος,17,0.04,77.33
νεκρός,17,0.04,77.38
δορύφορος,17,0.04,77.42
ἀκόλαστος,17,0.04,77.46
σῶς,16,0.04,77.5
ἄτιμος,16,0.04,77.55
ὑπήκοος,16,0.04,77.59
ἐχυρός,16,0.04,77.63
δορυφόρος,16,0.04,77.67
ὠμός,16,0.04,77.71
εὐσεβής,16,0.04,77.75
ἀνάξιος,16,0.04,77.79
Σικελικός,16,0.04,77.83
ὑγιής,16,0.04,77.87
πιθανός,16,0.04,77.91
ἄλκιμος,16,0.04,77.95
περιβόητος,16,0.04,77.99
σωματικός,16,0.04,78.04
μιαρός,16,0.04,78.08
ἄκυρος,16,0.04,78.12
ἐπίπεδος,16,0.04,78.16
ὑπηρετικός,15,0.04,78.2
μακάριος,15,0.04,78.23
ὑπήκους,15,0.04,78.27
εὐγενής,15,0.04,78.31
Πελασγικός,15,0.04,78.35
μεσόγαιος,15,0.04,78.39
ποιητέος,15,0.04,78.43
ὁμόφυλος,15,0.04,78.46
ἁπλόος,15,0.04,78.5
ἀργός2,15,0.04,78.54
πρακτικός,15,0.04,78.58
ὁμότιμος,15,0.04,78.62
ἀντίος,14,0.04,78.65
θάσσων,14,0.04,78.69
θερμός,14,0.04,78.72
μάχιμος,14,0.04,78.76
