Word,Count,Percentage of total,Cumulative percentage of total
πᾶς,1639,4.61,4.61
πολύς,1192,3.35,7.96
μέγας,1117,3.14,11.1
φίλος,950,2.67,13.77
κακός,893,2.51,16.29
Ἀχαιός,676,1.9,18.19
δῖος,428,1.2,19.39
καλός,401,1.13,20.52
ἑός,355,1.0,21.52
ἀθάνατος,305,0.86,22.37
ἄριστος,283,0.8,23.17
δεινός,244,0.69,23.86
Ἀργεῖος,214,0.6,24.46
μέλας,213,0.6,25.06
ἐσθλός,212,0.6,25.65
μακρός,206,0.58,26.23
μέσος,204,0.57,26.81
πρότερος,198,0.56,27.36
ταχύς,193,0.54,27.9
κρατερός,189,0.53,28.44
εὐρύς,188,0.53,28.97
νέος,186,0.52,29.49
ἀγαθός,179,0.5,29.99
χρύσεος,176,0.49,30.49
ὀξύς,170,0.48,30.96
ἅπας,168,0.47,31.44
ἴσος,162,0.46,31.89
οἶος,161,0.45,32.35
θοός,149,0.42,32.76
μόνος,146,0.41,33.17
πτερόεις,140,0.39,33.57
ὠκύς,133,0.37,33.94
θνητός,131,0.37,34.31
ἀμύμων,128,0.36,34.67
ἱερός,110,0.31,34.98
τάλας,108,0.3,35.28
φαεινός,106,0.3,35.58
κλυτός,104,0.29,35.87
πλείων,102,0.29,36.16
χάλκεος,95,0.27,36.43
πατρίς,94,0.26,36.69
ἀντίος,93,0.26,36.95
θεῖος,92,0.26,37.21
ἐχθρός,90,0.25,37.47
αἰνός,90,0.25,37.72
λευκός,89,0.25,37.97
βαρύς,88,0.25,38.22
ἄκρος,86,0.24,38.46
πυκνός,86,0.24,38.7
μεγάθυμος,85,0.24,38.94
λυγρός,83,0.23,39.17
δίκαιος,81,0.23,39.4
ἀργαλέος,81,0.23,39.63
νήπιος,80,0.22,39.85
γλαφυρός,80,0.22,40.08
ἀγλαός,79,0.22,40.3
φαίδιμος,79,0.22,40.52
χαλεπός,76,0.21,40.74
πατρῷος,75,0.21,40.95
γλαυκῶπις,74,0.21,41.16
φίλτατος,72,0.2,41.36
ἀμείνων,72,0.2,41.56
Ὀλύμπιος,72,0.2,41.76
ἡδύς,71,0.2,41.96
κοῖλος,70,0.2,42.16
αἰγίοχος,70,0.2,42.36
δύστηνος,69,0.19,42.55
παλαιός,67,0.19,42.74
ἀμφίπολος,67,0.19,42.93
ὑψηλός,67,0.19,43.12
δαίφρων,67,0.19,43.3
κεῖνος,66,0.19,43.49
αἰδοῖος,66,0.19,43.68
ἀέκων,64,0.18,43.86
δάιος,63,0.18,44.03
ἀεικής,63,0.18,44.21
ζωός,62,0.17,44.38
αἰπύς,61,0.17,44.56
ξένος,60,0.17,44.72
ὀλοός,60,0.17,44.89
ἔμπεδος,58,0.16,45.06
ὕστερος,57,0.16,45.22
πιστός,56,0.16,45.37
ἄλκιμος,56,0.16,45.53
στυγερός,56,0.16,45.69
τεός,56,0.16,45.85
ἀντίθεος,56,0.16,46.0
γλυκύς,55,0.15,46.16
πότνια,55,0.15,46.31
μεγαλήτωρ,55,0.15,46.47
πλεῖστος,54,0.15,46.62
πολύμητις,54,0.15,46.77
ἄγριος,53,0.15,46.92
πικρός,52,0.15,47.07
περικαλλής,52,0.15,47.21
ἱππόδαμος,52,0.15,47.36
γεραιός,51,0.14,47.5
πολιός,51,0.14,47.65
δηρός,51,0.14,47.79
ἴφθιμος,51,0.14,47.93
ἀγαυός,51,0.14,48.08
ἀργύρεος,50,0.14,48.22
ὀρθός,49,0.14,48.35
ἐύς,49,0.14,48.49
ποικίλος,49,0.14,48.63
νηλής,48,0.13,48.77
ἅλιος,48,0.13,48.9
βαθύς,48,0.13,49.04
φέρτατος,48,0.13,49.17
πίων,47,0.13,49.3
ξανθός,47,0.13,49.43
λοιπός,46,0.13,49.56
πρόμαχος,46,0.13,49.69
διογενής,46,0.13,49.82
δυσμενής,45,0.13,49.95
ἁγνός,45,0.13,50.08
θεοειδής,45,0.13,50.2
οὔτις,44,0.12,50.33
δειλός,44,0.12,50.45
ὀλίγος,44,0.12,50.57
θεσπέσιος,43,0.12,50.69
ὄβριμος,43,0.12,50.82
κοινός,42,0.12,50.93
λευκώλενος,42,0.12,51.05
στιβαρός,42,0.12,51.17
κρείσσων,41,0.12,51.29
ἑκών,41,0.12,51.4
σχέτλιος,41,0.12,51.52
δεξιός,41,0.12,51.63
θαλερός,41,0.12,51.75
σμερδαλέος,41,0.12,51.86
ἄρειος,41,0.12,51.98
λαμπρός,40,0.11,52.09
αἰσχρός,40,0.11,52.2
μυρίος,40,0.11,52.31
πρόφρων,40,0.11,52.43
μαλακός,40,0.11,52.54
περίφρων,40,0.11,52.65
ἄτιμος,39,0.11,52.76
κορυθαίολος,39,0.11,52.87
θρασύς,38,0.11,52.98
κεδνός,38,0.11,53.08
τυτθός,38,0.11,53.19
πεζός,38,0.11,53.3
διπλόος,37,0.1,53.4
ἄξιος,37,0.1,53.51
θῆλυς,37,0.1,53.61
καρτερός,37,0.1,53.71
ἀγήνωρ,37,0.1,53.82
νημερτής,36,0.1,53.92
χάλκειος,36,0.1,54.02
κυδάλιμος,36,0.1,54.12
κερδίων,35,0.1,54.22
ὅμοιος,35,0.1,54.32
ἀφνειός,35,0.1,54.42
ποδώκης,35,0.1,54.52
εὔκομος,35,0.1,54.61
ἀληθής,34,0.1,54.71
ἄσπετος,34,0.1,54.81
παῦρος,34,0.1,54.9
ἀτάλαντος,34,0.1,55.0
Γερήνιος,34,0.1,55.09
διοτρεφής,34,0.1,55.19
παντοῖος,33,0.09,55.28
ἀολλής,33,0.09,55.37
κελαινός,33,0.09,55.47
ἐυκτίμενος,33,0.09,55.56
πρυμνός,33,0.09,55.65
ἐναντίος,31,0.09,55.74
αἱματόεις,31,0.09,55.83
ἐυκνήμις,31,0.09,55.91
λιγύς,31,0.09,56.0
ἀμβρόσιος,31,0.09,56.09
σαφής,30,0.08,56.17
σοφός,30,0.08,56.26
θερμός,30,0.08,56.34
αἴτιος,30,0.08,56.43
Τελαμών,30,0.08,56.51
ὑπέρθυμος,30,0.08,56.59
ἀλεγεινός,30,0.08,56.68
παχύς,30,0.08,56.76
πρώτιστος,29,0.08,56.84
ἀριστερός,29,0.08,56.93
ἀμήχανος,29,0.08,57.01
αἶθοψ,29,0.08,57.09
πορφύρεος,29,0.08,57.17
εὐρύοπα,29,0.08,57.25
εὔσελμος,29,0.08,57.33
κενός,28,0.08,57.41
ἑτοῖμος,28,0.08,57.49
μέλεος,28,0.08,57.57
μικρός,28,0.08,57.65
ἐλεύθερος,28,0.08,57.73
μάταιος,28,0.08,57.81
εὔφρων,28,0.08,57.89
δαιμόνιος,28,0.08,57.96
ἔξοχος,28,0.08,58.04
ὑπερφίαλος,28,0.08,58.12
χαλκήρης,28,0.08,58.2
ἤπιος,28,0.08,58.28
μειλίχιος,28,0.08,58.36
εὐπλόκαμος,28,0.08,58.44
ὄλβιος,27,0.08,58.51
νεκρός,27,0.08,58.59
χλωρός,27,0.08,58.66
πλέως,27,0.08,58.74
ὑγρός,27,0.08,58.82
τέλειος,27,0.08,58.89
ἀτρύγετος,27,0.08,58.97
ῥοδοδάκτυλος,27,0.08,59.04
περικλυτός,27,0.08,59.12
ἐρατεινός,27,0.08,59.2
ἀρηίφιλος,27,0.08,59.27
δολιχόσκιος,27,0.08,59.35
Καδμεῖος,26,0.07,59.42
γαιήοχος,26,0.07,59.49
τλήμων,26,0.07,59.57
χαρίεις,26,0.07,59.64
Διοτρεφής,26,0.07,59.71
κυάνεος,26,0.07,59.79
σύμμαχος,25,0.07,59.86
ἄμβροτος,25,0.07,59.93
δύσμορος,25,0.07,60.0
λεπτός,25,0.07,60.07
ἔισος,25,0.07,60.14
χαλκοχίτων,25,0.07,60.21
λιπαρός,25,0.07,60.28
ἴκελος,25,0.07,60.35
ἐναλίγκιος,25,0.07,60.42
ξένιος,25,0.07,60.49
ταὐτός,24,0.07,60.56
λωίων,24,0.07,60.62
ἔκπαγλος,24,0.07,60.69
ἀρείων,24,0.07,60.76
μάκαρ,24,0.07,60.83
ἀπήμων,24,0.07,60.89
πέπων,24,0.07,60.96
ἀθρόος,24,0.07,61.03
αἰζηός,24,0.07,61.1
μελιηδής,24,0.07,61.16
ἠερόεις,24,0.07,61.23
ἄθλιος,23,0.06,61.3
θέσφατος,23,0.06,61.36
Ἡράκλειος,23,0.06,61.43
ἄφθιτος,23,0.06,61.49
καλλιπάρηος,23,0.06,61.56
πατρώιος,23,0.06,61.62
ἐτεός,23,0.06,61.68
πελώριος,23,0.06,61.75
ἀστερόεις,23,0.06,61.81
ἱρός,23,0.06,61.88
δαιδάλεος,23,0.06,61.94
εἴκελος,23,0.06,62.01
ἀτάσθαλος,23,0.06,62.07
οἰκτρός,22,0.06,62.13
στονόεις,22,0.06,62.2
ἐπώνυμος,22,0.06,62.26
σεμνός,22,0.06,62.32
ἐπιχθόνιος,22,0.06,62.38
κελαινεφής,22,0.06,62.44
δεξιτερός,22,0.06,62.51
ἁπαλός,22,0.06,62.57
δοιοί,22,0.06,62.63
σιγαλόεις,22,0.06,62.69
ξεστός,22,0.06,62.75
πυκινός,22,0.06,62.81
κλεινός,21,0.06,62.87
πρόπας,21,0.06,62.93
