Word,Count,Percentage of total,Cumulative percentage of total
πᾶς,322,14.04,14.04
μέγας,114,4.97,19.01
δίδυμος,84,3.66,22.68
φίλος,62,2.7,25.38
λοιπός,59,2.57,27.95
πολύς,55,2.4,30.35
σησάμινος,37,1.61,31.97
ἴδιος,35,1.53,33.49
ἥμισυς,33,1.44,34.93
δίκαιος,31,1.35,36.28
νέος,28,1.22,37.51
μικρός,27,1.18,38.68
ὀρφανός,27,1.18,39.86
ἐπίτροπος,26,1.13,40.99
κύριος,24,1.05,42.04
βασιλικός,22,0.96,43.0
καλός,22,0.96,43.96
ἀναγκαῖος,22,0.96,44.92
τίμιος,21,0.92,45.84
Ἰουδαῖος,20,0.87,46.71
θεῖος1,18,0.78,47.49
ὅλος,17,0.74,48.23
ἀντίγραφος,17,0.74,48.98
πρότερος,16,0.7,49.67
πλείων,16,0.7,50.37
ἅπας,13,0.57,50.94
μόνος,13,0.57,51.5
μέλας,13,0.57,52.07
χρήσιμος,12,0.52,52.59
ὀλίγος,11,0.48,53.07
γεωργός,11,0.48,53.55
δημόσιος,11,0.48,54.03
πλήρης,11,0.48,54.51
ἡμιόλιος,11,0.48,54.99
χάλκεος,10,0.44,55.43
ἀριστερός,10,0.44,55.87
ἱερός,10,0.44,56.3
ψιλός,9,0.39,56.69
δυνατός,9,0.39,57.09
ταχύς,9,0.39,57.48
ἱκανός,9,0.39,57.87
ἑτοῖμος,8,0.35,58.22
γλυκύς,8,0.35,58.57
καθαρός,8,0.35,58.92
ἄξιος,7,0.31,59.22
ἐνοίκιος,7,0.31,59.53
Αἰγύπτιος,7,0.31,59.83
ὅμοιος,7,0.31,60.14
ἅγιος,7,0.31,60.44
ἀβάσκαντος,7,0.31,60.75
ἀγαθός,7,0.31,61.06
ἐπίτιμος,7,0.31,61.36
ἐλεύθερος,7,0.31,61.67
πατρικός,6,0.26,61.93
κοινός,6,0.26,62.19
πρέσβυς,6,0.26,62.45
μέσος,6,0.26,62.71
ἁπλόος,6,0.26,62.97
θῆλυς,6,0.26,63.24
μακάριος,6,0.26,63.5
ἀμφότεροι,6,0.26,63.76
μετέωρος,6,0.26,64.02
ἥσσων,6,0.26,64.28
ἴσος,6,0.26,64.54
ἐπάναγκος,6,0.26,64.81
γνήσιος,6,0.26,65.07
Ἠνγαδηνός,6,0.26,65.33
λαμπρός,5,0.22,65.55
κεφάλαιος,5,0.22,65.77
καινός,5,0.22,65.98
μακροπρόσωπος,5,0.22,66.2
τέλειος,5,0.22,66.42
ἐπιτήδειος,5,0.22,66.64
βοηθός,5,0.22,66.86
ἐλαικός,5,0.22,67.07
πονηρός,4,0.17,67.25
προγονικός,4,0.17,67.42
Πτολεμαικός,4,0.17,67.6
μαχαιροφόρος,4,0.17,67.77
εὔσταθμος,4,0.17,67.95
ἐλάσσων,4,0.17,68.12
λευκός,4,0.17,68.29
τρίμηνος,4,0.17,68.47
σύμβιος,4,0.17,68.64
γερδιακός,4,0.17,68.82
πάτριος,4,0.17,68.99
περισσός,4,0.17,69.17
Ἐνγαδηνός,4,0.17,69.34
Δεκέμβριος,4,0.17,69.52
λεπτός,4,0.17,69.69
ἐμβόλιμος,4,0.17,69.86
μάχιμος,4,0.17,70.04
καθάρειος,4,0.17,70.21
δίδραχμος,4,0.17,70.39
διπλόος,4,0.17,70.56
ἄκυρος,4,0.17,70.74
διάφορος,4,0.17,70.91
σύριος,4,0.17,71.09
ἀρχαῖος,3,0.13,71.22
πεπτός,3,0.13,71.35
