Word,Count,Percentage of total,Cumulative percentage of total
πᾶς,1163,17.98,17.98
πολύς,407,6.29,24.27
μέγας,236,3.65,27.91
ἅγιος,220,3.4,31.31
Ἰουδαῖος,193,2.98,34.3
νεκρός,125,1.93,36.23
ὅλος,107,1.65,37.88
ἴδιος,104,1.61,39.49
ἀγαθός,99,1.53,41.02
καλός,98,1.51,42.53
ἱερός,73,1.13,43.66
πονηρός,70,1.08,44.74
δίκαιος,66,1.02,45.77
πιστός,63,0.97,46.74
πρέσβυς,62,0.96,47.7
αἰώνιος,59,0.91,48.61
μέσος,59,0.91,49.52
κακός,54,0.83,50.36
λοιπός,54,0.83,51.19
δεξιός,53,0.82,52.01
τυφλός,49,0.76,52.77
μακάριος,48,0.74,53.51
ἔσχατος,48,0.74,54.25
ἐρῆμος,48,0.74,54.99
μικρός,46,0.71,55.7
ἁμαρτωλός,45,0.7,56.4
ὅμοιος,43,0.66,57.06
ἅπας,42,0.65,57.71
ἄξιος,41,0.63,58.35
μόνος,41,0.63,58.98
ἀγαπητός,41,0.63,59.61
ἱκανός,40,0.62,60.23
ὀλίγος,37,0.57,60.8
καινός,36,0.56,61.36
πτωχός,34,0.53,61.89
δυνατός,32,0.49,62.38
ἐχθρός,32,0.49,62.87
ἀκάθαρτος,31,0.48,63.35
πλούσιος,28,0.43,63.79
ἰσχυρός,27,0.42,64.2
καθαρός,26,0.4,64.61
πνευματικός,26,0.4,65.01
φίλος,26,0.4,65.41
λευκός,25,0.39,65.8
ἀληθινός,24,0.37,66.17
ἀσθενής,24,0.37,66.54
ἄπιστος,23,0.36,66.89
ἐλεύθερος,23,0.36,67.25
νέος,22,0.34,67.59
περισσός,22,0.34,67.93
ἀληθής,21,0.32,68.25
ἐκλεκτός,20,0.31,68.56
σοφός,20,0.31,68.87
κρυπτός,19,0.29,69.17
ἐπουράνιος,19,0.29,69.46
ἐλαχύς,18,0.28,69.74
κενός,18,0.28,70.02
χρύσεος,18,0.28,70.29
τέλειος,18,0.28,70.57
φανερός,17,0.26,70.83
παλαιός,17,0.26,71.1
κρατύς,17,0.26,71.36
ταχύς,16,0.25,71.61
ἑτοῖμος,16,0.25,71.85
θεμέλιος,15,0.23,72.09
γνωστός,15,0.23,72.32
πλήρης,15,0.23,72.55
γυμνός,15,0.23,72.78
ἀλλότριος,14,0.22,73.0
νήπιος,14,0.22,73.21
φρόνιμος,14,0.22,73.43
κωφός,14,0.22,73.65
χωλός,14,0.22,73.86
ὄψιος,14,0.22,74.08
κοινός,13,0.2,74.28
ὕψιστος,13,0.2,74.48
Ναζωραῖος,13,0.2,74.68
δέσμιος,13,0.2,74.88
ὑψηλός,12,0.19,75.07
μωρός,12,0.19,75.26
μακρός,12,0.19,75.44
Ῥωμαῖος,12,0.19,75.63
τίμιος,11,0.17,75.8
ἄφρων,11,0.17,75.97
συγγενής,11,0.17,76.14
συνεργός,11,0.17,76.31
ξένος,11,0.17,76.48
ὑγιής,11,0.17,76.65
Γαλιλαῖος,11,0.17,76.82
ἐναντίος,10,0.15,76.97
ἄδικος,10,0.15,77.13
ἀδύνατος,10,0.15,77.28
ἀρχαῖος,10,0.15,77.43
παραλυτικός,10,0.15,77.59
ἔνοχος,10,0.15,77.74
κλητός,9,0.14,77.88
ἄρσην,9,0.14,78.02
ἄβυσσος,9,0.14,78.16
νομικός,9,0.14,78.3
οὐράνιος,9,0.14,78.44
λεπρός,9,0.14,78.58
ἄζυμος,9,0.14,78.72
λαμπρός,9,0.14,78.86
εἰδωλόθυτος,9,0.14,79.0
εὐώνυμος,9,0.14,79.13
ἄνομος,8,0.12,79.26
ὅσιος,8,0.12,79.38
εὐλογητός,8,0.12,79.51
ποικίλος,8,0.12,79.63
ἀδόκιμος,8,0.12,79.75
μεστός,8,0.12,79.88
ὀξύς,8,0.12,80.0
πρωτότοκος,8,0.12,80.12
