Word,Count,Percentage of total,Cumulative percentage of total
πᾶς,13075,8.05,8.05
δημόσιος,4704,2.9,10.94
βασιλικός,3329,2.05,12.99
λαμπρός,3306,2.04,15.03
πολύς,3259,2.01,17.03
μέγας,3172,1.95,18.99
ἥμισυς,3111,1.92,20.9
λοιπός,2607,1.6,22.51
κύριος,2605,1.6,24.11
ἴδιος,2166,1.33,25.44
μόνος,1940,1.19,26.64
δίκαιος,1926,1.19,27.82
πρέσβυς,1801,1.11,28.93
μέτοχος,1764,1.09,30.02
καθαρός,1750,1.08,31.1
ῥυπαρός,1425,0.88,31.97
ἀργυρικός,1393,0.86,32.83
ἱερός,1391,0.86,33.69
νέος,1377,0.85,34.53
ἀριστερός,1367,0.84,35.38
θεῖος,1275,0.78,36.16
φίλος,1253,0.77,36.93
ἴσος,1207,0.74,37.68
ἅγιος,1170,0.72,38.4
δεξιός,1158,0.71,39.11
πλήρης,1119,0.69,39.8
μέσος,1109,0.68,40.48
ἀγαθός,1092,0.67,41.15
ἅπας,1070,0.66,41.81
ὅλος,1040,0.64,42.45
κοινός,968,0.6,43.05
δεῖνα,958,0.59,43.64
χάλκεος,900,0.55,44.19
ἰδιωτικός,881,0.54,44.73
χωματικός,853,0.53,45.26
αἰώνιος,823,0.51,45.76
κεφάλαιος,819,0.5,46.27
γεωργός,790,0.49,46.76
ἄσημος,769,0.47,47.23
ὀνικός,765,0.47,47.7
βοηθός,729,0.45,48.15
μικρός,709,0.44,48.58
ἔνδοξος,702,0.43,49.02
σιτικός,695,0.43,49.44
Παρθικός,690,0.42,49.87
ἐπίτροπος,670,0.41,50.28
βέβαιος,644,0.4,50.68
Καρηνίς,629,0.39,51.07
ἀντίγραφον,628,0.39,51.45
σπόριμος,617,0.38,51.83
μακάριος,585,0.36,52.19
κατοικικός,572,0.35,52.54
ἔπαρχος,566,0.35,52.89
ἐπιφανής,553,0.34,53.23
διπλόος,544,0.33,53.57
ψιλός,541,0.33,53.9
ἐνοίκιος,540,0.33,54.23
ἀγράμματος,521,0.32,54.55
ἡμιόλιος,480,0.3,54.85
εὐσεβής,480,0.3,55.15
τίμιος,465,0.29,55.43
διάσημος,462,0.28,55.72
τέλειος,454,0.28,56.0
ἀναγκαῖος,450,0.28,56.27
ἄβροχος,448,0.28,56.55
ἐλαχύς,440,0.27,56.82
βαλανευτικός,437,0.27,57.09
ἁπλόος,436,0.27,57.36
διάφορος,428,0.26,57.62
καλός,416,0.26,57.88
ἄξιος,416,0.26,58.13
ἐπίτιμος,412,0.25,58.39
πρότερος,396,0.24,58.63
κανήφορος,385,0.24,58.87
παντοῖος,375,0.23,59.1
σεβαστός,367,0.23,59.32
ἄδολος,365,0.22,59.55
ἔγγραφος,360,0.22,59.77
ἀκίνδυνος,358,0.22,59.99
ἀρίθμιος,355,0.22,60.21
ὁλόκληρος,353,0.22,60.43
Μηδικός,347,0.21,60.64
ὀλίγος,346,0.21,60.85
Ἀρμενιακός,340,0.21,61.06
δίμοιρος,334,0.21,61.27
θαυμάσιος,332,0.2,61.47
ἔνοχος,327,0.2,61.67
κρατύς,326,0.2,61.87
μοναστήριος,323,0.2,62.07
εὐτυχής,321,0.2,62.27
μακροπρόσωπος,319,0.2,62.47
πατρικός,315,0.19,62.66
μεγαλοπρεπής,314,0.19,62.85
ἄκυρος,313,0.19,63.05
εὐλαβής,306,0.19,63.23
καινός,303,0.19,63.42
παλαιός,300,0.18,63.61
δισσός,295,0.18,63.79
ἥσσων,290,0.18,63.97
εἰκάς,287,0.18,64.14
φανερός,282,0.17,64.32
ἔγγυος,266,0.16,64.48
ἀδιαίρετος,258,0.16,64.64
Ἀρσινόειτος,253,0.16,64.79
βαλανικός,252,0.16,64.95
χρύσεος,251,0.15,65.1
πανεύφημος,235,0.14,65.25
εὐδόκιμος,232,0.14,65.39
σύμβιος,231,0.14,65.53
ἀληθής,229,0.14,65.67
δοχικός,228,0.14,65.81
ἱκανός,227,0.14,65.95
νόμιμος,224,0.14,66.09
οὐσιακός,222,0.14,66.23
ἑκατοντάρουρος,221,0.14,66.37
ἐπιτήδειος,217,0.13,66.5
ἔναρχος,216,0.13,66.63
ἐπάναγκος,214,0.13,66.76
Ῥωμαῖος,214,0.13,66.9
ὁμοπάτριος,211,0.13,67.03
θῆλυς,209,0.13,67.15
ὕπατος,207,0.13,67.28
ἀπότακτος,207,0.13,67.41
ὁμομήτριος,204,0.13,67.53
μόνον,201,0.12,67.66
χλωρός,199,0.12,67.78
εὔσταθμος,196,0.12,67.9
Καισάρειος,191,0.12,68.02
ἀρχαῖος,187,0.12,68.13
ἑκούσιος,185,0.11,68.25
Σαρματικός,182,0.11,68.36
δουλικός,181,0.11,68.47
γεουχικός,181,0.11,68.58
ὅμοιος,178,0.11,68.69
δεκάπρωτος,177,0.11,68.8
ἀνυπόλογος,177,0.11,68.91
περίβλεπτος,176,0.11,69.02
Αἰγύπτιος,176,0.11,69.13
δραχμιαῖος,175,0.11,69.23
θεοφιλής,174,0.11,69.34
πολιτικός,173,0.11,69.45
κοῦφος,173,0.11,69.55
συμβολικός,171,0.11,69.66
σχολαστικός,171,0.11,69.77
γνήσιος,168,0.1,69.87
ἀμπελικός,168,0.1,69.97
ταχύς,167,0.1,70.07
λευκός,163,0.1,70.18
συγγενής,161,0.1,70.27
εὐάρεστος,160,0.1,70.37
σεβάσμιος,159,0.1,70.47
ἐλεύθερος,157,0.1,70.57
παραχωρητικός,156,0.1,70.66
ἀκόλουθος,155,0.1,70.76
ὑπερφυής,155,0.1,70.85
συνήθης,155,0.1,70.95
ξένος,153,0.09,71.04
δεσποτικός,153,0.09,71.14
ὁμογνήσιος,152,0.09,71.23
αἰδέσιμος,151,0.09,71.32
σύμμαχος,150,0.09,71.42
ἄγραφος,149,0.09,71.51
ἐπίσημος,148,0.09,71.6
Ἑρμουπολίτης,144,0.09,71.69
ὑικός,143,0.09,71.78
τετραχοίνικος,141,0.09,71.86
γενναῖος,139,0.09,71.95
ἔμβροχος,139,0.09,72.03
χρυσικός,139,0.09,72.12
συνγενής,138,0.08,72.2
ἐναντίος,138,0.08,72.29
ἀσφαλής,138,0.08,72.37
γερδιακός,136,0.08,72.46
οἰκεῖος,136,0.08,72.54
ἀγαπητός,136,0.08,72.63
δόκιμος,135,0.08,72.71
εὐγενής,134,0.08,72.79
σύμφωνος,132,0.08,72.87
δυνατός,131,0.08,72.95
Ἀθηναῖος,130,0.08,73.03
ὑδραγωγός,129,0.08,73.11
ἀλλότριος,129,0.08,73.19
εὐκλεής,129,0.08,73.27
δοῦλος,129,0.08,73.35
θηλυκός,129,0.08,73.43
Γαλλικός,128,0.08,73.51
χρύσινος,127,0.08,73.59
γραμματικός,127,0.08,73.67
εὐαγής,123,0.08,73.74
ἄρσην,122,0.08,73.82
νομικός,122,0.08,73.89
ἀθλοφόρος,122,0.08,73.97
ἑτοῖμος,122,0.08,74.04
γεωργικός,121,0.07,74.12
μητρικός,121,0.07,74.19
ὀρφανός,121,0.07,74.26
ἔκδικος,120,0.07,74.34
ἀναπόρριφος,119,0.07,74.41
φιλάνθρωπος,119,0.07,74.49
ἑκών,117,0.07,74.56
καθολικός,116,0.07,74.63
δενδρικός,116,0.07,74.7
ἑξάμηνος,115,0.07,74.77
Μεμνόνειος,114,0.07,74.84
ἀλληλέγγυος,113,0.07,74.91
χρήσιμος,112,0.07,74.98
σύνολος,111,0.07,75.05
γλυκύς,111,0.07,75.12
κακός,110,0.07,75.18
φυλακιτικός,110,0.07,75.25
ἀπάτωρ,108,0.07,75.32
μηνιαῖος,108,0.07,75.38
ἐρῆμος,108,0.07,75.45
κολοβός,108,0.07,75.52
ὁμοούσιος,108,0.07,75.58
τετανός,107,0.07,75.65
ἔντοκος,107,0.07,75.72
ἀδέσποτος,107,0.07,75.78
ἰδιόγραφος,106,0.07,75.85
ὑπόλογος,106,0.07,75.91
ὑγιής,106,0.07,75.98
ἄσπορος,106,0.07,76.04
ἀνθρώπινος,105,0.06,76.11
διακάτοχος,105,0.06,76.17
εὐμεγέθης,103,0.06,76.24
κυριακός,103,0.06,76.3
θεοφύλακτος,103,0.06,76.36
ἀντίδικος,103,0.06,76.43
Κυρηναῖος,103,0.06,76.49
Πτολεμαικός,102,0.06,76.55
ἄπορος,102,0.06,76.61
Ἰουδαῖος,102,0.06,76.68
Φιλαδέλφιος,101,0.06,76.74
παστοφόρος,101,0.06,76.8
σιτόφορος,100,0.06,76.86
Θεαδέλφιος,100,0.06,76.92
μελίχρους,99,0.06,76.99
ὑπεύθυνος,98,0.06,77.05
σύνναος,96,0.06,77.11
εὐσχήμων,96,0.06,77.16
ἐπικεφάλαιος,94,0.06,77.22
μεγαλεῖος,94,0.06,77.28
ἑπτάρουρος,94,0.06,77.34
ἀβάσκαντος,93,0.06,77.4
ἔσχατος,93,0.06,77.45
εὔπορος,92,0.06,77.51
ἡγεμονικός,91,0.06,77.57
πατρῷος,91,0.06,77.62
δίδυμος,91,0.06,77.68
ἀνέπαφος,90,0.06,77.73
σεμνός,90,0.06,77.79
ἐπανάγκης,90,0.06,77.84
αἴτιος,89,0.05,77.9
χρηστήριος,88,0.05,77.95
στρογγυλοπρόσωπος,88,0.05,78.01
μοναχός,88,0.05,78.06
στεφανικός,87,0.05,78.11
ὤνιος,87,0.05,78.17
Δακικός,86,0.05,78.22
ξενικός,86,0.05,78.27
αὐθαίρετος,85,0.05,78.33
στερεός,85,0.05,78.38
ξηρός,85,0.05,78.43
δεκαπέντε,84,0.05,78.48
Ἡράκλειος,84,0.05,78.53
